step,step_ms,forward_ms,backward_ms,optimizer_ms
0,359.29857,167.929476,122.365911,68.504455
1,235.932731,64.708216,113.662722,56.435484
2,236.066345,63.893401,114.458246,56.602927
3,235.980372,63.968992,113.899747,56.956204
4,236.983911,63.90787,113.767074,58.183676
5,235.484343,64.111024,113.813545,56.413693
6,236.455941,64.782677,114.258053,56.313112
7,236.484971,64.399829,114.234472,56.710608
8,235.710207,63.998422,114.125511,56.461714
9,235.636675,63.8424,113.805175,56.873532
10,235.313201,63.889441,113.767554,56.536965
11,236.907039,64.468081,114.938005,56.376353
12,236.43744,64.760616,114.252313,56.298072
13,236.170635,61.980695,115.885153,57.108226
14,237.001371,65.399238,114.08086,56.368853
15,235.629715,63.903571,113.865646,56.746069
16,236.723296,63.312799,115.681539,56.598517
17,236.485821,64.785716,114.14042,56.442084
18,236.39108,64.601933,114.008038,56.661058
19,237.679923,65.169283,115.110679,56.264311
20,236.668445,64.555702,114.306063,56.656207
21,236.825778,63.34428,115.641388,56.718999
22,230.658445,61.826293,111.422901,56.305201
23,235.996993,64.41479,114.10559,56.364172
24,237.638402,64.261887,115.286031,56.942393
25,236.623404,64.690355,114.229972,56.337942
26,236.191976,62.102087,115.658129,57.102855
27,237.900548,65.626652,114.61925,56.413614
28,235.35599,63.88563,113.899556,56.466994
29,236.512132,63.296649,115.605877,56.463704
30,236.838488,64.875819,114.09118,56.673098
31,237.046732,65.196444,114.216462,56.504195
32,237.532581,65.098332,114.960096,56.342022
33,237.279896,64.595363,114.410166,56.554246
34,237.222395,63.062626,116.145317,56.811821
35,230.879459,61.889853,111.519353,56.325941
36,235.985772,64.465371,113.959178,56.443664
37,237.322927,64.264887,115.408783,56.502335
38,237.772576,65.003402,114.693091,56.939663
39,234.24094,62.144848,114.561989,56.403133
40,237.858986,65.697483,114.587439,56.463834
41,235.937101,64.254127,114.207462,56.333152
42,236.951311,63.424463,115.484255,56.821471
43,238.442807,65.736754,114.681021,56.884472
44,237.185824,61.599358,117.571584,56.895193
45,236.464891,64.373208,114.493647,56.446674
46,236.519863,64.863169,114.277163,56.257151
47,236.710056,63.524904,115.771051,56.290241
48,231.460419,61.918374,111.505843,56.827281
49,236.257587,64.611593,114.14511,56.133708
50,237.532621,64.454571,115.487976,56.478635
51,237.256856,65.258315,114.327924,56.471615
52,234.316281,62.389613,114.281533,56.495295
53,237.866917,65.805955,114.451356,56.487594
54,235.866351,64.152176,114.026609,56.580235
55,237.091893,63.687647,115.767471,56.514846
56,237.998729,65.806695,114.742062,56.352253
57,236.685045,61.930404,117.103185,56.334172
58,236.159776,64.286578,114.283763,56.474904
59,236.861358,64.894128,114.431806,56.393223
60,236.96457,63.688336,115.821871,56.340442
61,231.5049,62.010375,111.972831,56.409923
62,236.265367,64.505183,114.019778,56.603846
63,237.802636,64.702026,115.396304,56.586806
64,237.742014,65.227895,114.719551,56.649738
65,235.402221,62.583646,114.476366,56.946223
66,238.283045,65.908048,114.629239,56.431694
67,236.041893,64.345218,114.249073,56.316182
68,237.245085,64.095013,115.421244,56.616777
69,237.919647,65.276105,114.743861,56.75657
70,236.93316,62.504245,116.517014,56.78413
71,234.172989,63.611455,113.090101,56.339792
72,237.103743,65.026651,114.674601,56.290841
73,237.589182,63.866299,116.024075,56.572255
74,232.607451,61.965705,112.442369,56.469754
75,236.720556,64.344709,114.589989,56.556736
76,239.444816,65.356856,116.097706,56.692878
77,236.599293,64.43791,114.200312,56.593926
78,236.91774,63.040986,116.257949,56.502045
79,238.950956,66.694621,114.681341,56.427154
80,237.844916,65.395897,114.67047,56.645987
81,239.010369,65.300317,115.681868,56.861002
82,237.241155,64.932419,114.311914,56.876162
83,237.586361,64.089373,116.040635,56.314511
84,236.887369,64.569173,114.604949,56.583657
85,236.577363,62.068666,117.040294,56.356003
86,240.374372,66.524558,115.951124,56.798421
87,236.9024,64.370839,114.550798,56.859012
88,237.48586,63.753628,115.902383,56.654278
89,238.04345,65.731574,114.405566,56.513535
90,237.054241,62.277111,117.186817,56.484525
91,237.185445,64.681466,114.692171,56.708099
92,238.541319,65.444558,115.070278,56.602437
93,239.028827,64.194016,116.714358,56.931893
94,232.301385,62.21194,112.679994,56.28592
95,236.503143,64.455041,114.537448,56.404963
96,239.421345,65.870967,115.72202,56.724469
97,237.027561,64.604283,114.601489,56.712559
98,237.307907,63.498803,116.124577,56.588106
99,239.652259,66.334574,115.74028,56.451064
100,237.683843,62.000765,117.93534,56.630407
101,236.39063,64.191086,114.593008,56.486555
102,238.55353,65.259785,115.77648,56.333142
103,238.231314,64.027192,116.32461,56.77858
104,233.064739,62.141028,113.366477,56.463525
105,237.778146,64.693865,115.106598,56.867651
106,239.750411,65.886846,116.404212,56.344072
107,237.888977,64.664344,115.22258,56.865271
108,238.346746,64.026733,116.126067,56.77694
109,239.943844,65.823506,115.659589,56.952654
110,236.215726,62.742339,115.567257,56.474404
111,235.3288,63.916291,113.675002,56.615427
112,238.151243,65.43539,115.251751,56.331852
113,238.801514,64.616643,116.625186,56.430564
114,232.395337,62.21574,112.781726,56.281951
115,237.388778,64.708245,114.835904,56.744699
116,239.713991,66.084021,115.7008,56.655858
117,237.300437,64.606953,115.20076,56.130578
118,237.890617,63.985182,116.161818,56.622457
119,238.949158,65.978899,115.576507,56.2608
120,237.554771,62.381003,117.169147,56.878312
121,236.810597,63.958252,114.026679,57.094886
122,239.471956,65.768355,115.479395,57.027045
123,239.349544,64.883578,116.654907,56.692948
124,238.636481,65.707763,115.361953,56.440544
125,236.242257,63.086756,115.417554,56.597546
126,239.358244,66.263943,115.327032,56.646317
127,238.343025,65.066622,115.220531,56.899482
128,239.022798,65.359477,115.888803,56.515325
129,238.465668,65.073872,115.458925,56.804441
130,238.791783,64.154955,116.986033,56.523836
131,232.912936,62.466604,112.729175,56.576166
132,237.788396,64.873739,115.158239,56.616538
133,239.544707,65.880637,116.015225,56.22048
134,237.879707,64.935889,115.319703,56.474825
135,238.262345,63.697357,116.662347,56.75999
136,238.997257,66.220363,114.979276,56.643748
137,239.087748,65.444238,115.516306,56.970314
138,236.468271,64.399179,114.63935,56.25422
139,239.001428,65.673893,115.622228,56.531245
140,239.343314,64.841497,116.741138,56.539806
141,238.697203,65.50273,115.724139,56.314902
142,238.642191,63.216388,117.769187,56.525045
143,239.259312,65.340837,115.890982,56.906892
144,239.164441,65.48073,115.726611,56.79123
145,238.792714,65.295006,115.594237,56.682739
146,239.394435,65.667973,115.943844,56.526985
147,238.962267,65.380048,115.72446,56.707659
148,238.354656,65.280356,115.576627,56.067697
149,238.629491,65.248445,115.731109,56.474945
