timestamp_perf_counter_sec,elapsed_sec,step,cpu_util_percent,gpu_util_percent,gpu_mem_used_mb,gpu_power_w,gpu_energy_mj
9875996.492509585,0.00023826397955417633,-1,0.0,2.0,1993.25,17.984,145547282657.0
9875996.996369485,0.5040981639176607,1,0.6,99.0,8757.25,73.433,145547377671.0
9875997.49884458,1.0065732598304749,3,0.5,97.0,8757.25,187.759,145547479944.0
9875998.001655752,1.5093844309449196,5,0.5,99.0,8757.25,210.407,145547582035.0
9875998.519832276,2.027560954913497,8,0.6,98.0,8757.25,207.549,145547683119.0
9875999.022410763,2.5301394425332546,10,0.5,98.0,8757.25,208.656,145547783923.0
9875999.525866557,3.0335952360183,12,0.5,99.0,8757.25,210.167,145547886024.0
9876000.046527592,3.554256271570921,14,0.5,98.0,8757.25,208.391,145547990144.0
9876000.553411124,4.061139803379774,16,0.6,99.0,8757.25,209.108,145548094727.0
9876001.055983584,4.563712263479829,18,0.5,98.0,8757.25,211.051,145548196690.0
9876001.558565402,5.066294081509113,20,0.5,98.0,8757.25,211.576,145548298492.0
9876002.06120714,5.568935818970203,22,0.5,97.0,8757.25,213.901,145548402881.0
9876002.563893192,6.071621870622039,24,0.5,98.0,8757.25,212.765,145548507612.0
9876003.066640701,6.574369380250573,27,0.5,98.0,8757.25,213.314,145548610324.0
9876003.572443323,7.080172002315521,29,0.5,98.0,8757.25,209.255,145548712582.0
9876004.075802116,7.58353079482913,31,0.5,99.0,8757.25,207.771,145548813602.0
9876004.594846716,8.102575395256281,33,0.6,97.0,8757.25,211.391,145548938266.0
9876005.10309532,8.610823998227715,35,0.6,98.0,8757.25,211.837,145549039604.0
9876005.60572132,9.11344999819994,37,0.5,98.0,8757.25,214.057,145549140915.0
9876006.111543652,9.619272330775857,39,0.5,98.0,8757.25,214.29,145549246686.0
9876006.614710592,10.122439270839095,41,0.5,99.0,8757.25,211.22,145549350376.0
9876007.117473092,10.62520177103579,43,0.5,98.0,8757.25,210.907,145549454150.0
9876007.620432636,11.128161314874887,46,0.5,99.0,8757.25,210.317,145549555223.0
9876008.123053387,11.630782065913081,48,0.5,98.0,8757.25,207.981,145549652966.0
9876008.652776796,12.160505475476384,50,0.6,98.0,8757.25,208.702,145549756233.0
9876009.160780268,12.6685089468956,52,0.5,99.0,8757.25,210.359,145549860653.0
9876009.663381804,13.171110482886434,54,0.5,98.0,8757.25,211.579,145549964552.0
9876010.170276336,13.678005015477538,56,0.5,99.0,8757.25,210.028,145550068896.0
9876010.67321324,14.180941918864846,58,0.5,98.0,8757.25,211.499,145550171634.0
9876011.175911251,14.683639930561185,60,0.5,98.0,8757.25,213.546,145550274395.0
9876011.678572193,15.186300871893764,62,0.5,98.0,8757.25,213.051,145550395148.0
9876012.181506867,15.689235545694828,65,0.5,98.0,8757.25,210.444,145550502542.0
9876012.689463964,16.197192642837763,67,0.5,99.0,8757.25,211.37,145550606988.0
9876013.19240003,16.7001287098974,69,0.5,98.0,8757.25,212.332,145550713440.0
9876013.69634134,17.204070018604398,71,0.5,99.0,8757.25,210.62,145550817017.0
9876014.199305126,17.707033805549145,73,0.5,98.0,8757.25,211.917,145550919132.0
9876014.701946946,18.20967562496662,75,0.5,98.0,8757.25,214.049,145551020723.0
9876015.208874878,18.716603556647897,77,0.6,98.0,8757.25,215.415,145551125705.0
9876015.711642249,19.219370927661657,79,0.5,98.0,8757.25,215.518,145551231957.0
9876016.214543564,19.722272243350744,81,0.5,99.0,8757.25,214.759,145551337030.0
9876016.717327643,20.225056322291493,83,0.5,98.0,8757.25,213.361,145551440899.0
9876017.22027199,20.728000668808818,86,0.5,99.0,8757.25,212.108,145551542826.0
9876017.727762273,21.235490951687098,88,0.5,98.0,8757.25,211.018,145551645885.0
9876018.2309747,21.738703379407525,90,0.5,98.0,8757.25,211.02,145551750089.0
9876018.733733753,22.24146243184805,92,0.5,99.0,8757.25,211.841,145551855288.0
9876019.236740967,22.74446964636445,94,0.5,98.0,8757.25,210.234,145551958392.0
9876019.739324426,23.24705310538411,96,0.5,99.0,8757.25,209.925,145552061898.0
9876020.246819427,23.754548106342554,98,0.6,98.0,8757.25,212.855,145552168236.0
9876020.749886395,24.257615074515343,100,0.7,98.0,8757.25,215.626,145552270649.0
9876021.252450222,24.76017890125513,102,0.6,97.0,8757.25,215.3,145552372492.0
9876021.755088571,25.262817250564694,104,0.5,98.0,8757.25,213.941,145552476170.0
9876022.257836483,25.76556516252458,106,0.5,99.0,8757.25,213.045,145552580695.0
9876022.788249664,26.295978343114257,109,0.6,98.0,8757.25,209.269,145552703001.0
9876023.294869112,26.802597790956497,111,0.5,98.0,8757.25,212.305,145552808640.0
9876023.797865655,27.30559433437884,113,0.5,98.0,8757.25,212.572,145552910678.0
9876024.30548742,27.813216099515557,115,0.5,99.0,8757.25,212.109,145553014577.0
9876024.808391845,28.3161205239594,117,0.5,98.0,8757.25,215.928,145553120670.0
9876025.311063576,28.818792255595326,119,0.5,98.0,8757.25,216.025,145553223139.0
9876025.813687464,29.32141614332795,121,0.5,98.0,8757.25,216.613,145553326740.0
9876026.316558689,29.824287367984653,123,0.5,98.0,8757.25,213.581,145553431396.0
9876026.847977346,30.35570602491498,126,0.6,97.0,8757.25,215.143,145553538116.0
9876027.355218824,30.862947503104806,128,0.5,98.0,8757.25,212.737,145553638605.0
9876027.857815063,31.365543741732836,130,0.5,99.0,8757.25,209.357,145553737291.0
9876028.387074634,31.894803313538432,132,0.6,98.0,8757.25,212.528,145553862892.0
9876028.894633668,32.40236234664917,134,0.6,98.0,8757.25,212.259,145553964027.0
9876029.397178365,32.904907044023275,136,0.5,98.0,8757.25,216.04,145554068457.0
9876029.904365212,33.412093890830874,138,0.5,98.0,8757.25,216.506,145554173295.0
9876030.40698958,33.91471825912595,140,0.5,99.0,8757.25,213.123,145554278910.0
9876030.90962724,34.417355919256806,142,0.5,98.0,8757.25,212.91,145554383024.0
9876031.414965283,34.92269396223128,144,0.5,99.0,8757.25,210.909,145554485804.0
9876031.917650396,35.42537907510996,147,0.5,98.0,8757.25,210.635,145554586680.0
9876032.423801616,35.931530294939876,149,0.5,99.0,8757.25,210.666,145554689955.0
9876032.926421855,36.43415053375065,151,0.5,99.0,8757.25,210.996,145554794482.0
9876033.429037573,36.936766251921654,153,0.5,98.0,8757.25,212.447,145554900157.0
9876033.932047049,37.439775727689266,155,0.5,98.0,8757.25,213.177,145555005137.0
9876034.434621036,37.94234971515834,157,0.5,98.0,8757.25,212.709,145555109304.0
9876034.942120329,38.44984900765121,159,0.6,99.0,8757.25,212.159,145555213441.0
9876035.444707455,38.95243613421917,161,0.6,98.0,8757.25,213.438,145555317740.0
9876035.947752664,39.455481342971325,163,0.5,98.0,8757.25,215.202,145555421933.0
9876036.450481344,39.958210023120046,165,0.6,98.0,8757.25,215.967,145555525970.0
9876036.953174343,40.46090302243829,167,0.5,98.0,8757.25,215.963,145555630877.0
9876037.455824114,40.96355279348791,170,0.5,99.0,8757.25,214.936,145555735863.0
9876037.961731387,41.46946006640792,172,0.5,98.0,8757.25,213.948,145555840404.0
9876038.46440994,41.972138619050384,174,0.5,98.0,8757.25,212.957,145555944510.0
9876038.967038969,42.47476764768362,176,0.5,98.0,8757.25,212.355,145556047770.0
9876039.4698165,42.97754517942667,178,0.5,99.0,8757.25,212.031,145556173301.0
9876039.97313375,43.480862429365516,180,0.5,98.0,8757.25,214.192,145556279442.0
9876040.481291475,43.98902015388012,182,0.5,98.0,8757.25,214.811,145556384507.0
9876040.983853363,44.49158204160631,184,0.5,98.0,8757.25,214.64,145556487578.0
9876041.48643209,44.99416076950729,186,0.5,98.0,8757.25,216.111,145556594065.0
9876041.98910132,45.49682999961078,188,0.5,99.0,8757.25,215.239,145556696218.0
9876042.491915341,45.999644020572305,190,0.5,98.0,8757.25,215.044,145556798452.0
