timestamp_perf_counter_sec,elapsed_sec,step,cpu_util_percent,process_cpu_util_percent,gpu_util_percent,gpu_mem_used_mb,gpu_power_w,gpu_energy_mj
11340801.508382684,0.00012685172259807587,-1,0.0,0.0,24.0,1991.25,14.829,140472384883.0
11340802.010883532,0.5026277005672455,1,1.6,99.5,95.0,8757.25,65.972,140472472778.0
11340802.513122968,1.004867136478424,3,1.5,101.5,99.0,8757.25,180.831,140472575262.0
11340803.020241648,1.5119858160614967,6,1.6,100.6,98.0,8757.25,207.387,140472677139.0
11340803.541737905,2.0334820728749037,8,1.6,103.6,99.0,8757.25,205.246,140472773797.0
11340804.043851117,2.5355952847748995,10,1.5,101.6,98.0,8757.25,202.351,140472872151.0
11340804.545843296,3.0375874638557434,12,1.5,101.6,98.0,8757.25,204.396,140472974271.0
11340805.048031732,3.539775900542736,14,1.6,97.6,98.0,8757.25,205.467,140473076008.0
11340805.550258586,4.042002754285932,16,1.4,101.6,98.0,8757.25,206.05,140473177564.0
11340806.05255674,4.5443009082227945,18,1.5,99.5,99.0,8757.25,205.164,140473274770.0
11340806.567563333,5.059307500720024,20,1.5,102.9,98.0,8757.25,208.741,140473375790.0
11340807.07004344,5.561787609010935,23,1.5,101.5,98.0,8757.25,207.716,140473495381.0
11340807.572045531,6.063789699226618,25,1.5,101.6,99.0,8757.25,207.185,140473598500.0
11340808.078191737,6.569935904815793,27,1.5,100.8,98.0,8757.25,204.464,140473700603.0
11340808.581491867,7.073236035183072,29,1.5,101.4,99.0,8757.25,205.488,140473802454.0
11340809.088211432,7.579955600202084,31,1.5,100.6,98.0,8757.25,207.981,140473902227.0
11340809.590356495,8.082100663334131,33,1.5,99.6,98.0,8757.25,211.709,140474004109.0
11340810.097801773,8.589545940980315,35,1.5,102.5,99.0,8757.25,211.978,140474106741.0
11340810.600038948,9.091783115640283,37,1.5,101.5,98.0,8757.25,207.611,140474208795.0
11340811.102277145,9.594021312892437,39,1.5,97.6,99.0,8757.25,206.505,140474309591.0
11340811.604706872,10.096451040357351,42,1.5,101.5,98.0,8757.25,205.255,140474408486.0
11340812.106868064,10.598612232133746,44,1.5,101.6,98.0,8757.25,205.267,140474506607.0
11340812.610047227,11.101791394874454,46,1.5,99.4,99.0,8757.25,206.516,140474606687.0
11340813.129501663,11.621245831251144,48,1.5,103.9,98.0,8757.25,207.057,140474710954.0
11340813.636611106,12.128355273976922,50,1.5,102.5,99.0,8757.25,208.621,140474815234.0
11340814.13880465,12.630548818036914,52,1.5,99.6,97.0,8757.25,208.745,140474915518.0
11340814.641029865,13.132774032652378,54,1.5,101.6,98.0,8757.25,208.795,140475017164.0
11340815.143248267,13.634992435574532,56,1.5,99.6,99.0,8757.25,210.95,140475120284.0
11340815.645480843,14.137225011363626,59,1.5,101.5,98.0,8757.25,210.196,140475223722.0
11340816.148572505,14.640316672623158,61,1.5,101.4,98.0,8757.25,210.257,140475325788.0
11340816.655309157,15.147053325548768,63,1.5,98.7,98.0,8757.25,207.679,140475425085.0
11340817.158124752,15.649868920445442,65,1.5,101.4,98.0,8757.25,203.668,140475524907.0
11340817.660108324,16.15185249224305,67,1.5,99.6,98.0,8757.25,204.227,140475625862.0
11340818.162336068,16.65408023633063,69,1.5,101.5,98.0,8757.25,205.011,140475727154.0
11340818.664525084,17.156269252300262,71,1.5,101.5,99.0,8757.25,208.24,140475849034.0
11340819.167128874,17.658873042091727,73,1.5,99.5,98.0,8757.25,207.31,140475950821.0
11340819.67455592,18.16630008816719,75,1.5,100.5,99.0,8757.25,205.828,140476052287.0
11340820.177804684,18.66954885236919,77,1.5,101.3,98.0,8757.25,205.099,140476153432.0
11340820.688797273,19.180541440844536,80,1.6,101.8,98.0,8757.25,204.001,140476254367.0
11340821.193931198,19.68567536585033,82,1.7,102.9,98.0,8757.25,204.539,140476355725.0
11340821.696730934,20.188475102186203,84,1.5,101.5,98.0,8757.25,206.513,140476458203.0
11340822.19959824,20.69134240783751,86,1.5,99.4,99.0,8757.25,204.511,140476559794.0
