batch_size,avg_gpu_util_percent,avg_cpu_util_percent,avg_gpu_mem_used_mb,avg_gpu_power_w,timeline_path
4,99.04311774461029,0.5203980099502487,11715.946517412935,222.25903980099503,d:\A MCGILL WINTER 2026\COMP 597\PROJECT\COMP597_PROJECT\COMP597_PROJECT\final_experiment_results\BatchSize4_3\fine_grain_n64_seq1024\fine_grain_n64_seq1024_timeline.csv
8,99.26711185308848,1.2879799666110183,13058.685726210351,229.75657762938232,d:\A MCGILL WINTER 2026\COMP 597\PROJECT\COMP597_PROJECT\COMP597_PROJECT\final_experiment_results\BatchSize8_3\fine_grain_n64_seq1024\fine_grain_n64_seq1024_timeline.csv
16,99.4010067114094,1.6409395973154361,13052.052013422819,232.25696140939604,d:\A MCGILL WINTER 2026\COMP 597\PROJECT\COMP597_PROJECT\COMP597_PROJECT\final_experiment_results\BatchSize16_3\fine_grain_n64_seq1024\fine_grain_n64_seq1024_timeline.csv
