batch_size,mode,label,total_train_sec,steps_completed,steps_per_second,samples_per_second,mean_step_ms,mean_forward_ms,mean_backward_ms,mean_optimizer_ms,final_loss,time_overhead_pct_vs_baseline,energy_consumed_kwh,emissions_kg
4,baseline_time,Baseline timing,300.40466157400004,725,2.413411283970397,9.653645135881588,,,,,,0.0,,
4,e2e_energy,E2E energy,304.086480359,725,2.3841901788730486,9.536760715492195,,,,,,1.2256197243107672,0.0491357785600724,0.0001934650046992
4,fine_grain,Fine-grained,303.76607152,725,2.3867049943142375,9.54681997725695,418.55886736689655,132.76045435448276,227.82879077103448,56.689930186206894,10.795059204101562,1.1189606474105727,,
8,baseline_time,Baseline timing,300.849024014,390,1.296331278714241,10.370650229713927,,,,,,0.0,,
8,e2e_energy,E2E energy,304.838708981,390,1.279365082287853,10.234920658302824,,,,,,1.326141901266171,0.0495315476899424,0.0001950232882721
8,fine_grain,Fine-grained,302.156332483,390,1.2907225766050832,10.325780612840665,774.2803923153847,131.190479574359,226.79946168333333,56.753741164102564,10.829952239990234,0.43453970751094934,,
16,baseline_time,Baseline timing,300.999827803,200,0.6644522073643746,10.631235317829994,,,,,,0.0,,
16,e2e_energy,E2E energy,303.714747423,200,0.6585126395638904,10.536202233022246,,,,,,0.9019671671629248,0.0495501924091511,0.000195096699151
16,fine_grain,Fine-grained,300.095582031,200,0.666454329805295,10.66326927688472,1499.933475345,131.67243647125,228.58455892875,56.813513395,10.890056610107422,-0.3004140496026498,,
