task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Step #137,2026-02-21T19:54:33,energy-efficiency,6b77921a-fd23-42d9-bcad-d791fb4b7740,0.2772557372227311,1.5501224284907974e-07,5.588665997441815e-07,360.0,141.22543424531207,10.0,2.7723469864577265e-05,1.0876119809211104e-05,7.700485229078269e-07,3.936963819669605e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #138,2026-02-21T19:54:33,energy-efficiency,6b77921a-fd23-42d9-bcad-d791fb4b7740,0.2775869946926832,1.6693913721308642e-07,6.013455255642249e-07,360.0,179.90830030276283,10.0,2.7756174374371587e-05,1.3871677765564527e-05,7.709501233572771e-07,4.239880226329391e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #139,2026-02-21T19:54:33,energy-efficiency,6b77921a-fd23-42d9-bcad-d791fb4b7740,0.2773982109501958,1.666148574739609e-07,6.006183481352332e-07,360.0,179.34183421865544,10.0,2.7730902843177505e-05,1.381528882760108e-05,7.702508009970165e-07,4.231644247177507e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #140,2026-02-21T19:54:34,energy-efficiency,6b77921a-fd23-42d9-bcad-d791fb4b7740,0.27935058157891035,1.6962721184264168e-07,6.071327579487752e-07,360.0,185.41788520624354,10.0,2.7923402935266326e-05,1.4382511505317552e-05,7.755985793968018e-07,4.308151301998103e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #141,2026-02-21T19:54:34,energy-efficiency,6b77921a-fd23-42d9-bcad-d791fb4b7740,0.2761205704882741,1.6888363983207417e-07,6.115406228131852e-07,360.0,189.32756128654162,10.0,2.7606682851910765e-05,1.4519178282768053e-05,7.668012468558231e-07,4.2892662381534274e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #142,2026-02-21T19:54:34,energy-efficiency,6b77921a-fd23-42d9-bcad-d791fb4b7740,0.2771933162584901,1.5596800719696688e-07,5.626564144439544e-07,360.0,144.69390840219646,10.0,2.770641548559055e-05,1.1136397798594544e-05,7.695676526054687e-07,3.961238093679129e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #143,2026-02-21T19:54:35,energy-efficiency,6b77921a-fd23-42d9-bcad-d791fb4b7740,0.27811108343303204,1.668626045648934e-07,5.996895404699055e-07,360.0,178.27985580825296,10.0,2.7825908455997913e-05,1.378056657941329e-05,7.728896491850351e-07,4.23793646845954e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #144,2026-02-21T19:54:35,energy-efficiency,6b77921a-fd23-42d9-bcad-d791fb4b7740,0.27676024101674557,1.6654187353380416e-07,6.016891135128671e-07,360.0,180.3011431162079,10.0,2.767043290659776e-05,1.385889997607137e-05,7.685733027756176e-07,4.2297906185445426e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #145,2026-02-21T19:54:35,energy-efficiency,6b77921a-fd23-42d9-bcad-d791fb4b7740,0.2796087460592389,1.6891054064005102e-07,6.041034242218134e-07,360.0,182.682497423265,10.0,2.7943065483123156e-05,1.4180289120702128e-05,7.761399804924961e-07,4.2899494584317834e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #146,2026-02-21T19:54:35,energy-efficiency,6b77921a-fd23-42d9-bcad-d791fb4b7740,0.27558142226189375,1.6856913013655526e-07,6.116314592859018e-07,360.0,189.34604665190614,10.0,2.755436608567821e-05,1.449306715173293e-05,7.653507248808972e-07,4.2812783962292364e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #147,2026-02-21T19:54:36,energy-efficiency,6b77921a-fd23-42d9-bcad-d791fb4b7740,0.27756056282669306,1.555193009162412e-07,5.603630904589473e-07,360.0,142.60976486567876,10.0,2.7739041019230696e-05,1.0988897681585286e-05,7.704808894130964e-07,3.949841959022954e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
