step,step_ms,forward_ms,backward_ms,optimizer_ms
0,333.609736,138.246899,124.08949,70.954351
1,241.277511,65.380673,118.374611,56.380656
2,238.217417,64.766223,115.812925,56.550479
3,238.877878,63.909508,117.019357,56.754472
4,239.082602,65.869173,115.747234,56.341275
5,238.189617,65.252422,115.384668,56.373857
6,236.978085,64.623229,114.674816,56.541529
7,239.642282,65.960004,115.805066,56.749583
8,240.997336,65.897862,117.440334,56.537229
9,239.407508,65.977114,115.996209,56.295955
10,238.746606,63.725954,117.291962,56.58582
11,241.311761,67.512941,116.00988,56.642692
12,239.55286,65.553257,116.07771,56.760203
13,235.971147,64.266574,114.181257,56.398346
14,239.916616,66.110917,115.891757,56.739642
15,240.272893,65.69356,116.822223,56.61077
16,239.807525,66.236829,116.10115,56.296975
17,239.560501,63.859017,117.515795,57.003777
18,240.64355,67.156695,115.921627,56.458258
19,239.934187,62.795648,118.871489,57.077628
20,236.376605,64.319215,114.273088,56.614071
21,240.582958,66.225128,116.551358,56.56667
22,239.930877,65.409605,117.065148,56.348987
23,240.378495,65.920383,116.374505,56.969577
24,239.443379,64.184643,117.442495,56.674521
25,240.1404,66.027785,116.144022,56.62412
26,239.343026,62.936941,118.416672,56.876454
27,236.09796,64.381686,114.222488,56.356466
28,240.776242,66.294139,116.348745,56.985107
29,240.823183,65.70475,117.470685,56.535739
30,239.581011,65.493526,115.914628,56.806623
31,239.161224,64.237094,117.17004,56.571989
32,239.51924,66.000845,115.958869,56.410906
33,240.361565,65.836461,116.338225,56.977567
34,235.51037,64.198953,113.880883,56.302805
35,240.428336,66.28696,116.460758,56.552759
36,240.528597,65.793011,117.107248,56.505088
37,239.799395,65.762991,116.303284,56.58429
38,239.907747,64.230163,118.116156,56.420637
39,239.975017,66.071276,116.208792,56.563179
40,239.48326,63.321238,118.419352,56.582589
41,236.057529,64.398907,113.672978,56.828344
42,240.611089,66.437253,116.61768,56.340146
43,240.582688,66.238298,116.896515,56.308185
44,239.763374,65.629008,116.430856,56.55686
45,240.11105,64.361046,118.089616,56.510009
46,240.043119,65.881992,116.571809,56.453427
47,239.731764,63.421608,118.672196,56.448558
48,236.027508,64.281064,113.935813,56.643081
49,240.07788,66.081525,116.60088,56.02748
50,240.994566,65.900424,117.067698,56.898856
51,239.954288,65.610148,116.510738,56.637761
52,240.707161,64.848415,118.208498,56.476608
53,240.940754,66.740137,116.380916,56.667501
54,240.759842,64.59119,118.30545,56.66414
55,234.455851,63.201976,113.609977,56.455888
56,240.591288,65.704509,116.824153,56.931556
57,241.957382,66.522094,117.481585,56.64402
58,240.022019,65.478985,116.291654,56.866845
59,240.877173,65.248732,117.75987,56.732152
60,240.564668,66.265529,116.402517,56.759022
61,240.773122,64.960436,118.223409,56.461628
62,234.794897,63.023782,114.023205,56.61888
63,240.335054,65.547607,116.667791,56.987017
64,242.194206,67.130554,117.499755,56.453728
65,240.030229,65.464405,116.876054,56.566609
66,240.884694,65.793622,117.274001,56.691362
67,239.928047,65.650988,116.259883,56.867055
68,242.015643,65.250261,118.484463,56.911435
69,235.436938,63.038803,114.634875,56.482218
70,238.229857,63.312458,117.127089,56.639721
71,241.29242,66.986272,116.62853,56.554029
72,240.019808,65.849022,116.574409,56.467558
73,242.318518,66.34005,118.408841,56.416537
74,241.332371,66.198688,117.525915,56.468778
75,242.443891,66.397531,118.293019,56.61027
76,240.71234,66.042515,116.771993,56.439427
77,240.783442,64.62119,118.605814,56.157303
78,239.985238,65.526166,116.757562,56.56688
79,238.364109,63.771765,116.868454,56.59374
80,236.701991,64.554419,114.487643,56.525958
81,240.972595,66.220909,117.008857,56.611091
82,241.932392,66.345381,117.772791,56.652001
83,240.10843,65.76232,116.655101,56.553379
84,241.456074,65.206451,118.210798,56.896765
85,241.481864,66.642315,116.834354,56.881084
86,241.594746,65.310733,118.192447,56.965506
87,235.960227,63.119764,114.780938,56.912255
88,240.524947,65.851062,116.993657,56.566079
89,241.650747,66.962672,116.964936,56.380147
90,240.135601,65.600827,117.042167,56.368607
91,241.936902,66.204328,117.976263,56.628071
92,241.990853,66.205478,117.777331,56.655661
93,241.998893,66.161467,118.121566,56.582959
94,241.091108,66.458912,117.019007,56.484888
95,241.184509,64.757342,118.518333,56.707002
96,242.176016,66.9343,117.707399,56.304725
97,239.584881,64.0035,117.494175,56.930686
98,234.95514,63.562282,113.75067,56.501598
99,240.581629,66.031145,116.810544,56.522218
100,242.274438,66.733058,117.813381,56.461337
101,240.846093,65.73979,117.305822,56.645791
102,241.676568,65.584278,118.216508,56.647861
103,240.734281,65.960554,117.18817,56.401316
104,240.501677,64.691632,118.141037,56.528758
105,234.531053,62.716938,113.878293,56.815724
106,238.923099,65.038988,116.188293,56.555329
107,242.015204,67.170065,117.121429,56.564919
108,239.205704,65.20615,116.257284,56.523539
109,240.738812,65.373713,117.379153,56.843124
110,239.442029,65.456894,116.399666,56.454178
111,239.747734,64.103961,118.108326,56.413677
112,235.986678,62.89513,114.208898,57.18346
113,239.646542,62.966091,118.90707,56.351965
114,241.324371,66.730998,116.977356,56.454588
115,239.695893,65.330713,116.325024,56.903735
116,240.349745,65.414225,117.164519,56.641121
117,239.959537,65.362443,116.502287,56.745023
118,241.126458,64.271385,118.169677,57.386124
119,235.014551,62.764118,114.31004,56.794114
120,239.783334,62.996871,119.141894,56.517989
121,240.384955,66.465233,116.444877,56.346417
122,239.397438,65.321102,116.441656,56.480279
123,240.588228,65.486525,117.349522,56.626421
124,239.710463,65.362934,116.443368,56.756002
125,239.863246,64.470608,117.778051,56.489917
126,234.815387,62.86699,114.289719,56.532589
127,239.338746,65.325833,116.318474,56.556479
128,241.902802,67.202925,116.928585,56.337455
129,239.466229,65.316323,116.466497,56.544279
130,240.798132,65.619387,117.592977,56.439797
131,239.54972,65.563147,116.492668,56.352776
132,240.055179,64.459358,117.866151,56.57986
133,234.639725,62.86613,114.136447,56.309396
134,239.417608,65.433145,116.255863,56.57451
135,242.674625,67.527041,117.251872,56.748043
136,239.442488,65.350073,116.431927,56.509228
137,240.484777,65.582807,116.976297,56.801774
138,239.309417,65.572177,116.352446,56.268434
139,240.369865,64.758393,117.761831,56.758973
140,234.818678,62.735378,114.254309,56.735212
141,238.825068,65.226491,116.181393,56.324095
142,241.506155,67.206316,117.005557,56.200543
143,239.626332,65.427785,116.204833,56.876645
144,241.428533,65.618838,117.78478,56.739132
145,240.605089,65.840002,116.651001,56.725872
146,240.848733,65.111848,117.80409,56.56244
147,241.471524,66.253869,117.303441,56.643091
148,240.489247,64.094411,118.434262,56.416557
149,241.036356,66.739648,116.57009,56.55647
150,240.015178,65.938543,116.522389,56.427147
151,237.025476,64.673131,114.786368,56.453337
152,241.262221,66.598855,116.747262,56.811124
153,240.963035,65.73496,117.493246,56.626551
154,240.307233,65.638098,116.540829,56.939696
155,240.628689,64.663972,117.888322,56.941906
156,240.479717,66.622326,116.196532,56.556419
157,238.749067,64.327565,116.871574,56.410987
158,235.394568,63.896577,113.79629,56.578549
159,240.613899,66.156037,116.968326,56.378646
160,241.698958,66.539554,117.629128,56.414698
161,240.523188,65.580087,116.766612,56.891686
162,241.084808,65.080009,117.81787,56.901696
163,240.510317,66.298179,116.686191,56.414867
164,241.099908,65.197271,118.176407,56.599499
165,234.812177,63.071263,113.867822,56.746072
166,239.770355,65.512477,116.687452,56.446238
167,241.873441,66.660926,117.454675,56.63956
168,240.007329,65.549107,116.758983,56.551379
169,241.565885,65.399254,117.647508,57.101619
170,240.877064,65.800391,117.265431,56.570999
171,240.774592,65.049559,118.143317,56.459278
172,235.090562,63.056763,114.174337,56.507828
173,240.805152,63.207806,119.798846,56.460278
174,241.980494,67.036352,116.883764,56.891716
175,240.998595,65.994554,116.961935,56.917686
176,241.482324,66.415331,117.564136,56.384087
177,241.753369,66.559884,117.336653,56.723122
178,241.22769,65.902052,117.631348,56.572589
179,240.342714,65.827692,116.834974,56.565769
180,241.010406,64.567949,118.682597,56.630401
181,241.689818,66.916341,116.816123,56.829985
182,240.195692,64.499788,118.068965,56.478969
183,234.865188,63.331338,113.72089,56.696042
184,240.69059,65.990735,117.256551,56.321955
185,242.257978,66.557295,117.535306,56.940886
186,240.384605,65.583098,116.854855,56.829054
187,241.305151,65.481425,118.194158,56.514529
188,240.360854,65.610698,116.775943,56.847724
189,240.545758,64.631141,118.30048,56.456947
190,235.608211,63.069513,114.660476,56.769003
191,240.246993,65.548507,116.811673,56.754743
192,243.147794,67.192726,117.896853,56.929125
193,240.348974,66.078696,116.763423,56.389257
194,241.501184,66.32822,117.627418,56.447198
195,241.85037,66.455122,117.80079,56.393087
196,241.440973,66.017685,117.832931,56.461078
197,240.725831,66.36508,116.760433,56.270774
198,241.072706,64.665121,118.832679,56.466207
199,241.875171,67.136144,117.170479,56.465108
200,239.615652,64.853384,116.986237,56.371226
201,235.56013,63.982959,114.152828,56.302304
202,240.983166,66.043006,117.342383,56.497268
203,241.997203,66.561545,117.613287,56.696461
204,239.824725,65.539906,116.560009,56.614301
205,240.924194,65.226011,118.157596,56.419327
206,241.180059,66.206108,116.952526,56.913845
207,240.871953,65.110589,118.219958,56.399096
208,235.118263,63.058754,114.580404,56.317066
209,240.304744,65.75177,117.062477,56.334386
210,242.793017,67.344188,117.582727,56.768243
211,240.974255,65.819172,117.332573,56.674531
212,241.636088,66.249748,117.77289,56.509029
213,242.059284,66.565524,118.043464,56.322596
214,241.80215,65.965234,118.092495,56.627301
215,241.070917,66.369921,116.691381,56.824053
216,241.332052,64.917365,118.716497,56.57891
217,240.211742,65.646799,117.109909,56.344575
218,241.133748,63.814787,119.380899,56.822194
219,240.558548,65.592287,117.153779,56.704032
220,240.600349,65.76985,117.253731,56.441928
221,242.667715,67.379659,117.827402,56.354186
222,241.131568,66.153918,117.331453,56.456737
223,242.627804,66.623496,118.213918,56.60852
224,241.751319,66.825999,117.311322,56.476598
225,242.519743,66.545324,118.399611,56.476768
226,240.902504,66.094676,117.17621,56.531679
227,240.68459,64.980627,118.164727,56.442467
228,242.017973,67.016102,116.931036,56.959806
229,241.871911,65.465516,118.8684,56.421607
230,235.727014,63.188256,114.565225,56.845634
231,240.448276,65.696399,117.18626,56.465447
232,242.995151,67.570593,117.739869,56.248055
233,242.382629,65.996724,117.508715,57.474636
234,242.474971,66.629925,117.713159,56.901705
235,241.570796,66.87057,117.128779,56.468478
236,242.406931,66.117276,118.264879,56.912736
237,241.403842,66.150657,117.295422,56.846545
238,241.773639,65.275702,118.976181,56.397827
239,240.893204,65.828102,117.388324,56.565359
240,241.052416,64.541139,118.979892,56.345055
241,235.932427,63.253937,115.021912,56.541069
242,240.522227,65.721569,116.976806,56.697442
243,243.936617,67.610532,118.159397,57.004677
244,241.480954,66.30687,117.482415,56.55377
245,242.651714,66.88164,118.291009,56.360516
246,242.008983,66.93735,117.359713,56.58604
247,242.490331,66.152087,118.390741,56.817943
248,240.859374,65.80183,117.429294,56.518559
249,241.81294,65.420474,118.991091,56.270815
250,241.100748,65.799181,117.473605,56.726042
251,241.229389,64.489308,119.245896,56.386396
252,236.04582,63.275417,114.770078,56.888685
253,240.64276,65.7304,117.332552,56.432446
254,243.073401,67.796476,117.779761,56.377486
255,241.302751,66.27496,117.566657,56.343025
256,243.336097,66.873971,118.423181,56.899135
257,242.307479,66.967802,117.569157,56.65725
258,242.665955,67.027802,118.234868,56.309795
259,241.082857,65.932724,117.244811,56.771423
260,241.560785,65.390524,118.552643,56.520178
261,241.342342,66.581715,117.162819,56.480428
262,242.317208,65.448305,119.038113,56.727112
263,236.461006,63.208546,115.203905,56.902165
264,241.423903,65.980674,117.420084,56.905125
265,242.862809,67.255897,118.046085,56.458318
266,242.586194,66.701197,117.886672,56.903345
267,239.353647,65.136099,116.162602,56.918916
268,242.145906,66.954321,117.621087,56.200654
269,242.776266,66.617875,118.500002,56.542669
270,240.426225,65.841862,117.272072,56.210873
271,241.544406,65.400105,118.562374,56.450317
272,240.877694,65.770091,117.011837,56.997937
273,241.089997,64.763862,118.91294,56.291345
274,236.308213,63.284446,115.249986,56.678961
275,241.080167,63.410589,119.878077,56.419907
276,242.272998,67.245386,117.048298,56.714582
277,241.400383,66.269419,117.547426,56.467387
278,242.041114,66.757358,117.76524,56.400736
279,241.777489,66.8762,117.450985,56.336685
280,242.154646,66.251549,118.157156,56.58711
281,240.992185,66.116287,117.333112,56.430357
282,241.400993,65.18828,118.647995,56.442337
283,240.462966,65.692399,116.865324,56.787523
284,241.172329,64.406586,118.727297,56.924005
285,234.734507,62.911571,113.750109,56.955407
286,239.389657,65.357264,116.340095,56.488498
287,241.82661,66.976631,117.356953,56.389036
288,239.613342,65.310583,116.369065,56.809024
289,240.203262,64.979007,117.469925,56.645751
290,239.184914,65.328273,116.509919,56.228343
291,239.690933,63.781306,118.079816,56.717102
292,235.067652,63.056033,113.949093,56.947326
293,240.170131,65.569577,116.60278,56.818374
294,242.139455,66.639366,117.438724,56.933215
295,239.428869,65.382584,116.543899,56.390826
296,239.841746,64.998837,117.417954,56.297275
297,239.671482,65.388864,116.493698,56.685412
298,239.757135,63.903658,118.068075,56.668752
299,235.160003,63.065493,114.160978,56.826784
300,239.951247,65.599767,116.751942,56.488388
301,242.40992,66.989882,117.768441,56.537459
302,239.961047,65.441744,116.697962,56.701322
303,240.446416,65.312112,117.497795,56.452968
304,240.039089,65.569237,116.692552,56.647312
305,239.920887,64.329385,117.919112,56.54373
306,234.043934,62.892561,113.686429,56.370116
307,239.413218,65.504866,116.417326,56.386206
308,241.955202,66.797189,117.451915,56.293775
309,239.456829,65.523196,116.524348,56.286355
310,240.336974,65.233001,117.498825,56.506519
311,239.165104,65.198701,116.475807,56.385147
312,241.020146,64.382826,118.784278,56.751303
313,234.260347,62.89627,113.946873,56.295214
314,239.439318,65.485975,116.484797,56.369116
315,242.699436,66.785428,117.821751,56.957457
316,240.642609,65.362823,116.68264,57.232782
317,241.359682,65.653829,117.482785,56.938766
318,239.961068,65.572967,116.776223,56.503308
319,239.984598,64.786893,117.713419,56.375226
320,235.438358,62.941311,114.457682,56.917225
321,239.157383,65.254402,116.349755,56.414107
322,242.272868,67.555962,117.201231,56.419247
323,239.971908,65.605008,116.929625,56.288944
324,241.502635,65.858482,117.719529,56.820104
325,240.182311,65.892052,116.467907,56.688122
326,240.885444,65.229401,118.062756,56.487009
327,240.428706,66.068155,116.705321,56.53076
328,238.40624,63.802446,117.085398,56.398157
329,242.093055,67.529651,116.571759,56.820834
330,240.742651,66.265469,116.535468,56.825264
331,237.952222,64.778233,115.300166,56.749143
332,240.389005,66.450972,116.510578,56.308924
333,240.954034,65.629758,117.483905,56.731072
334,239.724303,65.602057,116.536589,56.474678
335,240.12388,64.329515,118.045165,56.63138
336,241.503944,66.911241,116.658251,56.811833
337,239.872656,64.257214,118.004935,56.469568
338,239.824315,65.421054,116.344465,56.927346
339,239.552262,65.444965,116.337225,56.631151
340,239.284585,65.376433,116.301534,56.478478
341,239.109742,65.317362,116.326494,56.340656
342,240.062259,65.534826,116.406986,56.953487
343,239.472959,65.464295,116.282654,56.58612
344,240.06364,65.479025,116.455977,56.984518
345,239.767144,65.350033,116.349875,56.936616
346,239.670902,65.360773,116.484827,56.682752
347,239.666142,65.440735,116.62099,56.469657
348,239.922497,65.457605,116.465617,56.840214
349,239.900836,65.430915,116.57944,56.749192
350,239.350906,65.283552,116.393096,56.534539
351,239.345217,65.300462,116.395757,56.526638
352,239.885646,65.333903,116.481478,56.482358
353,239.456969,65.289763,116.540739,56.473877
354,239.086062,65.188071,116.259154,56.498338
355,239.741503,65.259011,116.363226,56.885115
356,239.181344,65.286942,116.367965,56.382856
357,239.361597,65.238262,116.475038,56.491508
358,239.159304,65.193301,116.396487,56.448828
359,239.740934,65.321693,116.381666,56.903695
360,239.376277,65.378874,116.356596,56.503688
361,239.605642,65.335983,116.412037,56.719462
362,239.077412,65.335063,116.254713,56.356716
363,239.723223,65.265552,116.412287,56.914055
364,239.612151,65.277902,116.347146,56.861094
365,239.359957,65.410114,116.294554,56.508398
366,239.842585,65.370243,116.404696,56.860075
367,239.396738,65.392303,116.312425,56.55412
368,239.199604,65.305201,116.343415,56.413857
369,239.399498,65.370523,116.297584,56.59605
370,239.302556,65.337562,116.276434,56.553869
371,239.310986,65.344603,116.287155,56.55446
372,239.339907,65.471755,116.273674,56.477338
373,239.275465,65.395015,116.319984,56.402887
374,239.304796,65.360903,116.336834,56.471568
375,239.670462,65.255302,116.370995,56.906465
376,239.364527,65.339303,116.400366,56.497139
377,239.369347,65.367974,116.456857,56.398087
378,239.480639,65.384543,116.433626,56.531039
379,239.53157,65.420094,116.380085,56.608361
380,239.56022,65.519006,116.454637,56.426117
381,239.726284,65.449135,116.519928,56.614321
382,239.597791,65.473366,116.356575,56.610511
383,239.340737,65.445585,116.439256,56.326836
384,239.432338,65.374853,116.550439,56.333545
385,239.433728,65.479405,116.412316,56.415577
386,239.907707,65.493106,116.434277,56.843994
387,239.853296,65.482826,116.775603,56.477938
388,240.06221,65.453085,116.58197,56.895895
389,239.774184,65.496186,116.854665,56.286755
390,239.961468,65.670729,116.833844,56.304094
391,240.12021,65.712579,116.709672,56.570799
392,240.186671,65.929873,116.567769,56.535649
393,240.252852,65.972084,116.753463,56.406717
394,240.836672,66.079885,117.156599,56.450088
395,240.843943,66.419641,116.773322,56.480338
396,240.759861,66.509593,116.558178,56.56056
397,240.299903,66.475593,116.333514,56.352056
398,240.114671,66.119486,116.408366,56.432537
399,240.267513,65.885182,116.61707,56.63844
400,240.12965,65.7296,116.481667,56.433327
401,240.000579,65.711779,116.475077,56.692192
402,240.378304,65.74867,116.778923,56.716192
403,240.384765,65.599398,117.127899,56.537019
404,239.956327,65.550237,116.379866,56.902105
405,239.374887,65.401464,116.280174,56.542919
406,240.191993,65.432445,116.791943,56.832584
407,240.744081,65.463935,117.061077,56.990007
408,240.053339,65.499176,116.413136,56.969577
409,239.590551,65.474535,116.421726,56.55073
410,239.259905,65.298762,116.444786,56.395327
411,240.028968,65.472555,116.500437,56.935406
412,239.785834,65.348393,116.425176,56.878615
413,239.403768,65.427714,116.406886,56.428867
414,239.951038,65.368763,116.510408,56.835774
415,239.593091,65.481686,116.437597,56.518798
416,239.895786,65.451565,116.751853,56.574769
417,239.843415,65.619488,116.794993,56.296794
418,240.205122,65.553747,116.931966,56.58432
419,240.032408,65.708969,116.886605,56.299524
420,240.225312,65.781531,116.963856,56.359385
421,240.183882,65.826492,116.756912,56.472508
422,240.488967,66.080016,116.721842,56.552029
423,240.843233,66.066236,117.117109,56.495139
424,241.358612,66.189528,116.797392,57.005888
425,241.052617,66.691376,116.61893,56.461677
426,240.222732,65.942693,116.565579,56.58738
427,240.290203,65.970414,116.652551,56.527719
428,240.154011,65.74351,116.750782,56.524329
429,240.071329,65.793071,116.5909,56.543849
430,239.563931,65.558987,116.534479,56.353395
431,240.049739,65.587518,116.494328,56.851994
432,239.913577,65.564167,116.670331,56.573739
433,239.279315,65.266102,116.575089,56.344335
434,239.962267,65.647229,116.834834,56.364016
435,239.311296,65.383564,116.316844,56.513578
436,239.268346,65.545147,116.305794,56.309615
437,239.436889,65.612378,116.334345,56.392037
438,239.425178,65.446775,116.510978,56.391857
439,240.006948,65.538536,116.488167,56.874315
440,239.641962,65.457165,116.494988,56.582361
441,240.475086,65.547166,116.717601,57.052769
442,240.611549,65.554757,117.094658,56.845015
443,239.52976,65.383974,116.575299,56.474727
444,239.434848,65.488336,116.562929,56.307125
445,239.870206,65.549497,116.536598,56.699261
446,239.360467,65.428225,116.437497,56.390616
447,239.744273,65.536966,116.750622,56.375776
448,239.981708,65.500766,116.559799,56.835984
449,239.583651,65.440795,116.548068,56.484518
450,239.684193,65.365354,116.479818,56.734312
451,239.464379,65.401325,116.443907,56.498248
452,239.656992,65.535966,116.339635,56.673932
453,239.601191,65.401484,116.518158,56.584069
454,239.700373,65.446535,116.560789,56.59301
455,240.215912,65.7232,116.892815,56.477278
456,239.781724,65.590597,116.778013,56.02261
457,239.835265,65.621658,116.785773,56.331955
458,239.747714,65.592457,116.784163,56.258254
459,239.827705,65.68872,116.65646,56.387066
460,240.341934,65.68884,116.768862,56.799154
461,240.372525,65.869902,116.858204,56.57388
462,240.335485,65.898593,116.457627,56.879305
463,241.174339,65.995534,117.17511,56.915775
464,240.473927,66.27958,116.789433,56.318525
465,240.585888,66.374431,116.655591,56.460897
466,240.673941,66.682986,116.599619,56.293055
467,240.451936,66.105846,116.462417,56.796514
468,240.270473,65.970394,116.766282,56.454278
469,239.947437,65.725159,116.730062,56.410247
470,240.428316,65.702719,116.708031,56.920886
471,239.656382,65.562056,116.65364,56.341536
472,239.896307,65.518006,116.823553,56.460419
473,240.586108,65.613247,117.010807,56.864124
474,239.915956,65.367594,116.704242,56.768593
475,239.5362,65.434545,116.431066,56.543049
476,240.06833,65.469336,117.080698,56.421657
