timestamp_perf_counter_sec,elapsed_sec,step,cpu_util_percent,gpu_util_percent,gpu_mem_used_mb,gpu_power_w,gpu_energy_mj
9639291.837337356,0.0001398809254169464,-1,0.0,27.0,2039.25,19.101,138322630820.0
9639292.34226087,0.5050633940845728,1,2.0,95.0,8757.25,88.731,138322718281.0
9639292.84531539,1.008117914199829,3,1.9,99.0,8757.25,182.148,138322822175.0
9639293.347488556,1.5102910809218884,5,2.0,97.0,8757.25,208.844,138322924672.0
9639293.849843225,2.012645749375224,8,2.0,99.0,8757.25,208.528,138323024577.0
9639294.351863716,2.5146662406623363,10,1.9,98.0,8757.25,206.851,138323122491.0
9639294.858975807,3.021778332069516,12,2.0,98.0,8757.25,206.215,138323224504.0
9639295.362292742,3.5250952672213316,14,2.0,98.0,8757.25,208.13,138323329856.0
9639295.864485877,4.027288401499391,16,2.0,98.0,8757.25,208.391,138323432826.0
9639296.366666771,4.529469296336174,18,2.0,99.0,8757.25,207.986,138323533831.0
9639296.868910057,5.031712582334876,20,2.0,98.0,8757.25,209.97,138323635184.0
9639297.371046042,5.533848566934466,22,2.0,97.0,8757.25,210.384,138323735004.0
9639297.878084343,6.040886867791414,24,2.0,98.0,8757.25,212.412,138323838456.0
9639298.381245663,6.544048188254237,26,2.0,98.0,8757.25,210.484,138323942468.0
9639298.900118465,7.062920989468694,29,2.0,99.0,8757.25,210.529,138324047091.0
9639299.408222975,7.571025500074029,31,2.0,98.0,8757.25,209.531,138324168674.0
9639299.910323419,8.073125943541527,33,2.0,99.0,8757.25,206.976,138324272012.0
9639300.417286428,8.580088952556252,35,2.0,98.0,8757.25,209.111,138324375439.0
9639300.920316877,9.083119401708245,37,1.9,98.0,8757.25,211.714,138324477592.0
9639301.42243568,9.585238205268979,39,1.9,98.0,8757.25,210.364,138324578201.0
9639301.924592543,10.087395068258047,41,1.9,98.0,8757.25,211.622,138324682910.0
9639302.426675238,10.589477762579918,43,2.8,98.0,8757.25,210.954,138324782388.0
9639302.928963836,11.091766361147165,45,2.2,98.0,8757.25,209.5,138324883343.0
9639303.45088012,11.613682644441724,48,2.1,99.0,8757.25,206.921,138324983429.0
9639303.957008583,12.119811108335853,50,2.1,98.0,8757.25,206.547,138325085557.0
9639304.459051836,12.621854361146688,52,2.0,98.0,8757.25,209.732,138325190802.0
9639304.962203788,13.12500631250441,54,2.0,99.0,8757.25,207.626,138325292173.0
9639305.464312643,13.627115167677402,56,2.0,98.0,8757.25,210.862,138325397693.0
9639305.966434576,14.129237100481987,58,1.9,99.0,8757.25,209.461,138325498191.0
9639306.468517497,14.631320022046566,60,2.0,98.0,8757.25,207.595,138325595952.0
9639306.975705473,15.138507997617126,62,1.9,98.0,8757.25,212.044,138325701465.0
9639307.47865644,15.64145896397531,64,2.1,98.0,8757.25,212.771,138325803714.0
9639307.980800103,16.14360262826085,66,2.0,98.0,8757.25,213.64,138325908306.0
9639308.482929587,16.64573211222887,69,2.1,99.0,8757.25,211.391,138326012430.0
