step_ms,forward_ms,backward_ms,optimizer_ms,gpu_mem_alloc_MB,gpu_mem_reserved_MB,gpu_mem_max_MB,proc_cpu_percent,sys_cpu_percent,ram_used_MB,ram_percent
315.97147,118.749602,127.551291,69.521356,5070.90673828125,6374.0,6334.36767578125,96.8,0.5,14319.34375,2.8
238.939386,65.079866,116.628658,56.566251,5070.91455078125,7974.0,7309.55615234375,99.9,0.5,14319.71875,2.8
238.778075,64.996924,115.669223,57.436966,5070.91455078125,7974.0,7309.55615234375,100.0,0.5,14319.9375,2.8
238.291676,65.171848,115.906267,56.362908,5070.91455078125,7974.0,7309.55615234375,104.3,0.5,14320.18359375,2.8
238.541061,65.273429,116.036939,56.624443,5070.91455078125,7974.0,7309.55615234375,100.1,0.5,14320.18359375,2.8
238.770763,65.404681,116.06571,56.635873,5070.91455078125,7974.0,7309.55615234375,100.0,0.5,14320.18359375,2.8
238.928427,65.528743,116.244602,56.538651,5070.91455078125,7974.0,7309.55615234375,99.9,0.5,14320.4296875,2.8
238.837985,65.445121,116.07221,56.392779,5070.91455078125,7974.0,7309.55615234375,99.9,0.6,14320.4296875,2.8
237.847589,64.79727,115.813085,56.608743,5070.91455078125,7974.0,7309.55615234375,100.4,0.5,14320.4296875,2.8
237.787358,65.015535,115.572882,56.558781,5070.91455078125,7974.0,7309.55615234375,100.4,0.5,14320.4296875,2.8
237.643086,64.900224,115.780155,56.340328,5070.91455078125,7974.0,7309.55615234375,96.3,0.5,14320.67578125,2.8
238.302227,65.027295,115.833136,56.798795,5070.91455078125,7974.0,7309.55615234375,100.2,0.5,14320.67578125,2.8
235.936609,63.065703,115.624263,56.620593,5070.91455078125,7974.0,7309.55615234375,101.2,0.5,14320.67578125,2.8
239.840841,66.208974,116.616518,56.373839,5070.91455078125,7974.0,7309.55615234375,99.5,0.5,14320.67578125,2.8
237.676636,64.863313,115.47255,56.720864,5070.91455078125,7974.0,7309.55615234375,100.4,0.5,14320.67578125,2.8
238.768415,64.515867,116.859462,56.764055,5070.91455078125,7974.0,7309.55615234375,104.1,0.5,14320.921875,2.8
240.143205,65.940539,116.517807,57.041679,5070.91455078125,7974.0,7309.55615234375,99.4,0.5,14320.921875,2.8
238.214706,63.564722,117.31287,56.695445,5070.91455078125,7974.0,7309.55615234375,100.2,0.5,14320.921875,2.8
233.303918,63.344418,112.867539,56.414579,5070.91455078125,7974.0,7309.55615234375,98.0,0.5,14320.921875,2.8
238.441519,65.428461,115.634842,56.742424,5070.91455078125,7974.0,7309.55615234375,100.0,0.5,14321.16796875,2.8
238.823495,65.493323,116.306404,56.398709,5070.91455078125,7974.0,7309.55615234375,100.0,0.5,14321.16796875,2.8
238.372918,65.284349,115.638782,56.760375,5070.91455078125,7974.0,7309.55615234375,100.1,0.5,14321.16796875,2.8
239.053988,64.198551,117.33848,56.893976,5070.91455078125,7974.0,7309.55615234375,99.8,0.5,14321.16796875,2.8
238.613422,66.069531,115.44469,56.467431,5070.91455078125,7974.0,7309.55615234375,100.0,0.5,14321.4140625,2.8
237.93658,65.282839,115.424519,56.608002,5070.91455078125,7974.0,7309.55615234375,100.3,0.5,14321.4140625,2.8
236.64015,64.335544,114.706168,56.793975,5070.91455078125,7974.0,7309.55615234375,96.6,0.6,14321.4140625,2.8
239.262241,66.325195,115.405039,56.877176,5070.91455078125,7974.0,7309.55615234375,99.7,0.5,14321.4140625,2.8
239.305253,65.34913,116.894453,56.435209,5070.91455078125,7974.0,7309.55615234375,103.9,0.5,14321.66015625,2.8
238.287006,65.669716,115.385389,56.579821,5070.91455078125,7974.0,7309.55615234375,100.2,0.6,14321.66015625,2.8
238.50805,63.987459,117.33378,56.549672,5070.91455078125,7974.0,7309.55615234375,100.1,0.5,14321.66015625,2.8
239.430804,66.689641,115.792415,56.324198,5070.91455078125,7974.0,7309.55615234375,99.7,0.5,14321.66015625,2.8
237.856769,62.809909,118.120073,56.300448,5070.91455078125,7974.0,7309.55615234375,100.3,0.5,14321.66015625,2.8
237.27896,64.841612,114.943122,56.844826,5070.91455078125,7974.0,7309.55615234375,100.6,0.5,14321.90625,2.8
239.077339,65.892399,115.564022,56.985728,5070.91455078125,7974.0,7309.55615234375,99.8,0.5,14321.90625,2.8
238.968747,65.621965,116.417015,56.299698,5070.91455078125,7974.0,7309.55615234375,99.9,0.5,14321.875,2.8
238.895655,65.94949,115.492301,56.817796,5070.91455078125,7974.0,7309.55615234375,99.9,0.5,14322.12109375,2.8
238.48811,63.957038,117.33325,56.579543,5070.91455078125,7974.0,7309.55615234375,100.1,0.5,14322.12109375,2.8
239.957673,67.035056,115.939848,56.360168,5070.91455078125,7974.0,7309.55615234375,99.5,0.5,14322.1171875,2.8
237.919291,62.82044,118.078031,56.397279,5070.91455078125,7974.0,7309.55615234375,100.3,0.5,14322.1171875,2.8
237.175519,64.661209,115.085755,56.750784,5070.91455078125,7974.0,7309.55615234375,100.6,0.5,14322.1171875,2.8
238.960067,66.333435,115.540171,56.40822,5070.91455078125,7974.0,7309.55615234375,99.9,0.5,14322.36328125,2.8
239.224391,65.529273,116.579218,56.487391,5070.91455078125,7974.0,7309.55615234375,99.8,0.5,14322.36328125,2.8
238.615561,66.048671,115.306318,56.594322,5070.91455078125,7974.0,7309.55615234375,100.0,0.5,14322.36328125,2.8
238.53861,64.012239,117.267148,56.626473,5070.91455078125,7974.0,7309.55615234375,100.0,0.5,14322.36328125,2.8
239.558656,66.648291,115.911317,56.376608,5070.91455078125,7974.0,7309.55615234375,99.7,0.5,14322.36328125,2.8
238.599582,62.936383,118.086872,56.943288,5070.91455078125,7974.0,7309.55615234375,100.0,0.5,14322.36328125,2.8
236.286134,64.321944,114.672788,56.602852,5070.91455078125,7974.0,7309.55615234375,101.0,0.5,14322.42578125,2.8
239.367143,66.257285,115.607103,56.858657,5070.91455078125,7974.0,7309.55615234375,99.7,0.5,14322.36328125,2.8
239.256901,65.127077,116.832512,56.660132,5070.91455078125,7974.0,7309.55615234375,99.8,0.5,14322.609375,2.8
238.565941,65.926799,115.397039,56.576402,5070.91455078125,7974.0,7309.55615234375,100.1,0.6,14322.609375,2.8
238.460699,63.941369,117.218588,56.682984,5070.91455078125,7974.0,7309.55615234375,100.1,0.5,14322.609375,2.8
240.329109,67.018267,115.845806,56.659623,5070.91455078125,7974.0,7309.55615234375,103.5,0.5,14322.609375,2.8
237.82363,63.193656,117.509822,56.454191,5070.91455078125,7974.0,7309.55615234375,100.3,0.5,14322.85546875,2.8
236.63686,64.663879,114.8303,56.520591,5070.91455078125,7974.0,7309.55615234375,96.7,0.5,14322.85546875,2.8
238.781514,66.208384,115.46393,56.482491,5070.91455078125,7974.0,7309.55615234375,100.0,0.5,14322.85546875,2.8
239.304082,65.3412,116.631059,56.662363,5070.91455078125,7974.0,7309.55615234375,103.9,0.5,14322.85546875,2.8
238.761844,66.245004,115.613002,56.277747,5070.91455078125,7974.0,7309.55615234375,95.8,0.5,14323.1015625,2.8
238.872315,63.997389,117.180347,57.072839,5070.91455078125,7974.0,7309.55615234375,99.9,0.5,14323.1015625,2.8
240.323718,67.171079,115.578902,56.955598,5070.91455078125,7974.0,7309.55615234375,103.5,0.5,14323.1015625,2.8
238.153934,65.411271,115.569211,56.550331,5070.91455078125,7974.0,7309.55615234375,96.1,0.5,14322.85546875,2.8
236.009641,64.327854,114.357563,56.687564,5070.91455078125,7974.0,7309.55615234375,101.1,0.5,14322.85546875,2.8
238.865765,66.111933,115.474651,56.622093,5070.91455078125,7974.0,7309.55615234375,99.9,0.5,14323.1015625,2.8
239.244681,65.527473,116.74511,56.350118,5070.91455078125,7974.0,7309.55615234375,99.8,0.6,14323.34765625,2.8
239.063438,66.204874,115.644023,56.593192,5070.91455078125,7974.0,7309.55615234375,104.0,0.7,14323.34765625,2.8
238.417238,64.057029,117.173167,56.553751,5070.91455078125,7974.0,7309.55615234375,100.1,0.5,14323.34765625,2.8
240.154396,67.162359,115.734885,56.588923,5070.91455078125,7974.0,7309.55615234375,95.3,0.7,14323.34375,2.8
238.250776,65.583584,115.654773,56.389399,5070.91455078125,7974.0,7309.55615234375,100.2,0.6,14323.34375,2.8
237.18261,64.74698,114.907851,56.897567,5070.91455078125,7974.0,7309.55615234375,100.6,0.5,14323.34375,2.8
238.973087,66.285465,115.732385,56.331048,5070.91455078125,7974.0,7309.55615234375,99.9,0.5,14323.34375,2.8
240.251148,65.697746,116.726861,57.12185,5070.91455078125,7974.0,7309.55615234375,99.4,0.5,14323.58984375,2.8
238.632071,65.706085,115.714244,56.565041,5070.91455078125,7974.0,7309.55615234375,100.0,0.5,14323.58984375,2.8
238.406098,64.158361,117.192717,56.43637,5070.91455078125,7974.0,7309.55615234375,100.1,0.7,14323.58984375,2.8
238.835915,66.271625,115.594812,56.344929,5070.91455078125,7974.0,7309.55615234375,99.9,0.5,14323.56640625,2.8
238.859825,65.592634,115.820745,56.760975,5070.91455078125,7974.0,7309.55615234375,104.1,0.6,14323.80078125,2.8
235.639224,64.475077,114.092879,56.4323,5070.91455078125,7974.0,7309.55615234375,97.0,0.5,14319.125,2.8
239.490455,66.296016,115.851626,56.707223,5070.91455078125,7974.0,7309.55615234375,103.8,0.5,14319.125,2.8
239.466995,65.714696,116.583538,56.230477,5070.91455078125,7974.0,7309.55615234375,95.6,0.5,14319.125,2.8
238.924376,66.017991,115.809126,56.45307,5070.91455078125,7974.0,7309.55615234375,99.9,0.5,14318.87890625,2.8
238.992538,64.140511,117.34018,56.829126,5070.91455078125,7974.0,7309.55615234375,99.9,0.5,14319.125,2.8
240.795206,66.854604,116.7041,56.608772,5070.91455078125,7974.0,7309.55615234375,99.1,0.5,14319.125,2.8
236.155023,63.389139,115.811305,56.270497,5070.91455078125,7974.0,7309.55615234375,101.1,0.5,14319.125,2.8
237.290111,64.774061,114.979082,56.895466,5070.91455078125,7974.0,7309.55615234375,100.6,0.5,14319.125,2.8
239.743049,66.535329,115.872626,56.700604,5070.91455078125,7974.0,7309.55615234375,99.6,0.5,14319.125,2.8
239.474175,65.455492,116.516637,56.875397,5070.91455078125,7974.0,7309.55615234375,99.7,0.5,14319.37109375,2.8
240.161805,65.820207,115.988458,57.491826,5070.91455078125,7974.0,7309.55615234375,99.4,0.5,14319.37109375,2.8
239.701119,64.568248,117.3707,57.018719,5070.91455078125,7974.0,7309.55615234375,99.6,0.5,14319.37109375,2.8
238.434009,65.498232,115.768215,56.541311,5070.91455078125,7974.0,7309.55615234375,104.3,0.5,14319.3671875,2.8
236.466667,63.484551,115.756665,56.610363,5070.91455078125,7974.0,7309.55615234375,101.0,0.5,14319.61328125,2.8
236.823893,64.65944,114.936262,56.606202,5070.91455078125,7974.0,7309.55615234375,100.8,0.5,14319.61328125,2.8
239.259262,66.412047,115.549161,56.663513,5070.91455078125,7974.0,7309.55615234375,99.8,0.5,14319.61328125,2.8
240.468151,65.96675,117.168437,56.673794,5070.91455078125,7974.0,7309.55615234375,99.3,0.5,14319.61328125,2.8
239.15209,65.623704,115.947368,56.935697,5070.91455078125,7974.0,7309.55615234375,99.8,0.6,14319.609375,2.8
238.955417,64.469857,117.209868,56.331188,5070.91455078125,7974.0,7309.55615234375,99.9,0.5,14319.609375,2.8
238.284926,65.743456,115.46992,56.4536,5070.91455078125,7974.0,7309.55615234375,96.0,0.5,14319.609375,2.8
237.959721,63.384699,117.570863,56.382079,5070.91455078125,7974.0,7309.55615234375,104.5,0.5,14319.85546875,2.8
235.864368,64.595699,114.259581,56.372178,5070.91455078125,7974.0,7309.55615234375,97.0,0.5,14319.85546875,2.8
240.111376,66.470748,115.990038,56.986209,5070.91455078125,7974.0,7309.55615234375,103.6,0.5,14319.85546875,2.8
240.330118,65.93138,117.257319,56.49814,5070.91455078125,7974.0,7309.55615234375,95.2,0.5,14319.85546875,2.8
238.541021,65.541393,116.006099,56.370709,5070.91455078125,7974.0,7309.55615234375,104.2,0.5,14320.1015625,2.8
239.201701,64.441736,117.417931,56.719464,5070.91455078125,7974.0,7309.55615234375,99.8,0.5,14320.1015625,2.8
238.901805,65.780167,115.822936,56.675834,5070.91455078125,7974.0,7309.55615234375,95.8,0.5,14320.1015625,2.8
238.616722,63.45251,117.654745,56.876067,5070.91455078125,7974.0,7309.55615234375,104.2,0.5,14320.1015625,2.8
235.949939,64.562618,113.958216,56.772454,5070.91455078125,7974.0,7309.55615234375,101.2,0.5,14320.59375,2.8
238.842955,66.141843,115.709584,56.367138,5070.91455078125,7974.0,7309.55615234375,95.8,0.5,14320.59375,2.8
240.401429,65.95184,117.143586,56.643883,5070.91455078125,7974.0,7309.55615234375,99.3,0.5,14320.59375,2.8
238.699454,65.564713,115.947958,56.553482,5070.91455078125,7974.0,7309.55615234375,100.0,0.5,14320.59375,2.8
239.578986,64.492857,117.444981,57.015728,5070.91455078125,7974.0,7309.55615234375,99.7,0.5,14320.65625,2.8
238.297007,65.692396,115.646593,56.330568,5070.91455078125,7974.0,7309.55615234375,104.3,0.5,14320.59375,2.8
238.410318,63.236277,117.619214,56.624933,5070.91455078125,7974.0,7309.55615234375,96.0,0.5,14320.83984375,2.8
235.780027,64.683719,114.076858,56.358949,5070.91455078125,7974.0,7309.55615234375,101.2,0.5,14320.83984375,2.8
240.292038,66.754713,116.044349,56.860856,5070.91455078125,7974.0,7309.55615234375,103.5,0.5,14320.83984375,2.8
240.298608,65.901319,117.195599,56.561661,5070.91455078125,7974.0,7309.55615234375,99.4,0.5,14320.8359375,2.8
238.708233,65.808458,115.783885,56.490501,5070.91455078125,7974.0,7309.55615234375,100.0,0.6,14321.08203125,2.8
239.075768,64.488017,117.390671,56.560682,5070.91455078125,7974.0,7309.55615234375,99.8,0.5,14321.08203125,2.8
239.054548,65.709856,115.949718,56.731895,5070.91455078125,7974.0,7309.55615234375,99.8,0.5,14321.08203125,2.8
239.668648,63.949429,118.074131,57.017738,5070.91455078125,7974.0,7309.55615234375,99.6,0.5,14321.07421875,2.8
239.327313,65.705316,116.285243,56.710874,5070.91455078125,7974.0,7309.55615234375,99.8,0.5,14321.3203125,2.8
238.885925,65.643435,116.172131,56.428079,5070.91455078125,7974.0,7309.55615234375,99.9,0.5,14321.3203125,2.8
239.18504,65.643365,116.319643,56.598202,5070.91455078125,7974.0,7309.55615234375,99.8,0.5,14321.3203125,2.8
238.871526,65.383161,116.318713,56.532801,5070.91455078125,7974.0,7309.55615234375,99.9,0.5,14321.3203125,2.8
238.998357,65.573843,116.069569,56.652183,5070.91455078125,7974.0,7309.55615234375,99.9,0.5,14321.56640625,2.8
239.706839,65.723216,116.473136,56.881746,5070.91455078125,7974.0,7309.55615234375,99.6,0.5,14321.56640625,2.8
238.949736,65.499363,115.897346,56.929697,5070.91455078125,7974.0,7309.55615234375,99.9,0.5,14321.56640625,2.8
239.203981,65.404891,116.505697,56.605292,5070.91455078125,7974.0,7309.55615234375,104.0,0.5,14321.56640625,2.8
238.912156,65.35875,116.207532,56.704215,5070.91455078125,7974.0,7309.55615234375,99.9,0.5,14321.8125,2.8
