step,step_ms,forward_ms,backward_ms,optimizer_ms
0,933.95698,438.975893,426.019665,67.815722
1,720.581141,242.101974,419.169605,56.949271
2,721.675239,245.84228,417.718559,56.953812
3,723.40446,245.121367,420.510328,56.498713
4,722.88094,245.752418,419.47588,56.355891
5,726.151459,244.308443,423.377369,57.239756
6,719.646455,242.552142,419.372619,56.461442
7,723.738337,245.945651,419.725485,56.767738
8,732.261026,246.195726,428.59048,56.303269
9,726.918493,246.739065,422.575325,56.338149
10,722.83586,245.26617,419.744665,56.605204
11,721.911484,243.369656,419.991179,57.052382
12,723.627534,246.693494,419.072313,56.643506
13,728.249705,246.350108,424.03096,56.523723
14,728.54967,246.702624,423.615253,56.91327
15,724.224175,245.520583,420.068171,57.412399
16,729.213633,246.943899,423.736035,57.269836
17,723.509952,245.26415,420.474718,56.32958
18,729.382365,247.57057,423.306387,56.94695
19,722.744548,244.520136,420.377536,56.576893
20,727.33565,245.32273,424.098312,56.712996
21,725.10023,246.529611,420.490748,56.861439
22,733.741081,246.351348,429.678339,56.423792
23,730.000957,247.193663,424.789814,56.468723
24,724.589882,246.350319,419.945858,57.070783
25,728.066743,247.61375,422.360201,56.732877
26,725.422936,245.992282,421.319022,56.828398
27,728.162693,246.853417,423.512021,56.536803
28,726.902502,245.414051,423.44898,56.818549
29,722.363362,244.032997,420.674552,56.381721
30,728.51472,247.311665,423.316668,56.636025
31,728.332497,248.114589,422.375291,56.515493
32,726.921802,247.213954,421.004987,57.459749
33,728.278526,246.947789,423.321727,56.784638
34,727.165456,247.325596,421.380243,57.182815
35,730.396703,247.305315,425.269682,56.39113
36,728.081192,247.842644,422.559584,56.456562
37,725.816772,246.599493,420.572859,57.187905
38,726.794459,245.060575,423.883488,56.501623
39,726.036557,246.965749,421.18113,56.664306
40,731.752166,248.087229,424.995797,56.37335
41,725.528777,245.803909,421.556917,56.950741
42,728.625522,245.33161,424.533999,56.424482
43,729.283293,248.023578,422.940521,57.082714
44,733.227473,248.559667,427.018503,56.397821
45,727.703806,247.814794,422.334021,56.262788
46,728.857806,247.990387,422.985712,56.575044
47,727.337079,247.424657,422.161278,56.453252
48,731.683207,247.391377,426.527814,56.488043
49,729.544678,248.348733,423.4431,56.577324
50,728.192375,247.737742,422.3301,56.89982
51,730.24168,249.099957,423.548332,56.409671
52,732.640142,248.207111,426.2963,56.607525
53,729.305434,248.234931,422.778068,57.037962
54,727.898539,247.478488,422.566765,56.606105
55,728.179785,245.82492,424.455697,56.583825
56,727.701846,247.458528,422.29731,56.712127
57,731.596524,249.560515,423.98672,56.463612
58,729.855534,247.249594,424.771293,56.562034
59,725.596169,245.434202,422.497894,56.461762
60,730.293851,247.414797,425.077619,56.561093
61,734.136519,249.104837,426.947932,56.670685
62,729.573829,247.061251,424.493399,56.729997
63,726.877322,245.85813,423.222606,56.606625
64,732.557911,249.165057,425.483245,56.667896
65,734.23151,249.155047,427.247076,56.542833
66,729.079419,247.142153,423.639494,57.021611
67,727.538923,246.409439,422.908671,56.93122
68,732.634502,249.727547,424.665791,56.981802
69,734.709849,249.626676,427.269257,56.581254
70,730.82671,247.759123,425.401894,56.466381
71,726.80838,245.719858,422.813499,56.477932
72,732.461159,247.435527,426.340161,57.066263
73,734.604596,250.003363,426.985062,56.440751
74,733.754422,248.272993,427.709054,56.549154
