step,step_ms,forward_ms,backward_ms,optimizer_ms
0,780.750098,293.813423,424.035775,62.628804
1,726.988805,246.071902,422.940227,56.50192
2,722.380936,245.115946,419.778034,56.285426
3,727.22335,247.025068,422.603622,56.353378
4,727.736277,247.597147,422.391239,56.497331
5,728.272666,246.851555,423.229952,56.915418
6,730.174008,248.31837,423.955804,56.547852
7,726.961044,245.97669,422.45124,57.211441
8,733.682719,246.166834,429.370658,56.875036
9,729.180862,247.844782,423.67274,56.49063
10,735.226225,247.952793,429.56233,56.4596
11,730.916631,248.408631,424.814589,56.49163
12,727.30185,247.328534,422.213624,56.49776
13,729.842024,245.130336,426.743912,56.658993
14,728.46931,247.446686,423.07578,56.626742
15,731.617374,248.567354,424.801149,56.736375
16,729.260433,248.180887,423.308874,56.444189
17,733.538246,245.875298,430.14241,56.350168
18,733.852351,248.686267,427.351412,56.505831
19,730.115218,248.932531,423.516087,56.465649
20,731.38485,248.960881,424.154468,57.072929
21,730.477425,248.562884,424.387183,56.333048
22,729.382335,248.573924,423.040979,56.525791
23,731.966929,247.893542,426.302445,56.530541
24,729.837103,248.732177,423.437775,56.4829
25,732.718522,247.460966,427.475184,56.270567
26,728.167314,246.322207,424.089928,56.404828
27,730.890372,247.563737,425.636564,56.503201
28,733.866422,249.720473,426.287874,56.45358
29,730.24299,249.162874,423.390415,56.427629
30,733.838381,248.488373,427.732019,56.361418
31,733.652738,249.413779,426.302184,56.648023
32,732.042561,250.06668,424.153468,56.54603
33,732.731972,249.895937,425.240457,56.328547
34,733.953394,249.167015,426.571539,56.911028
35,732.387567,249.637512,425.176256,56.345368
36,739.041379,249.777104,431.576605,56.526161
37,731.909518,249.722184,424.363971,56.557501
38,735.689742,250.134751,428.034404,56.275077
39,733.393944,250.05851,425.650834,56.410328
40,732.928245,250.447727,424.444884,56.729904
41,734.398572,250.247583,426.484818,56.414169
42,736.66081,250.077619,428.715316,56.550341
43,733.561076,250.07617,425.857297,56.458159
44,733.115988,250.62641,424.24883,56.772046
45,734.36874,250.576529,425.99912,56.51382
46,736.597608,249.777585,429.186414,56.467709
47,734.752817,250.194092,426.916246,56.495109
48,735.137954,251.376642,425.994319,56.530001
49,733.430954,250.366974,425.247107,56.352248
50,736.481476,250.064459,428.618724,56.571192
51,738.421979,250.455307,430.279922,56.51474
52,738.315727,250.858184,429.748403,56.47036
53,733.706899,248.977822,427.105478,56.356777
54,731.449301,247.472206,425.828337,56.917877
55,734.926421,250.63423,426.534059,56.573452
56,739.096461,251.600845,429.619331,56.648093
57,738.101124,249.347267,431.009355,56.309238
58,739.313464,250.853663,430.824811,56.47196
59,738.561762,249.844456,431.228577,56.253906
60,739.777632,250.973456,431.360311,56.240665
61,739.866604,250.932165,431.203808,56.468689
62,739.852843,250.768282,431.170537,56.597931
63,739.033401,253.474028,428.037914,56.255406
64,738.903008,249.987128,431.137528,56.516111
65,737.563994,248.695935,431.142197,56.48357
66,740.21561,250.894465,431.517553,56.575191
67,740.523445,251.26116,431.099295,56.786505
68,738.711284,251.558105,429.519989,56.276566
69,735.51327,251.455763,426.57334,56.323157
70,739.377515,251.584876,430.162981,56.460809
71,739.490678,251.427763,430.310923,56.524361
72,740.966312,251.655096,431.635666,56.49964
73,739.944025,250.780822,431.388702,56.583732
74,740.304201,251.8541,430.919383,56.374528
75,740.393362,251.926012,430.898793,56.332718
76,738.927017,251.793259,429.412917,56.383279
77,740.211019,252.831647,429.280765,56.664552
78,738.913357,250.492097,430.487816,56.621001
79,738.714245,251.931932,428.728516,56.875827
80,748.469219,251.698477,438.554244,56.936698
81,738.888657,252.754294,428.543963,56.398989
82,735.083792,249.959007,427.406023,56.503961
83,738.046213,252.848107,427.288561,56.756165
84,738.733764,253.905445,427.298661,56.381028
85,736.576108,250.412886,428.527782,56.422288
86,738.4873,252.226137,428.860209,56.234785
87,749.003419,252.43917,438.876248,56.52773
88,738.711274,252.39948,428.512132,56.570312
89,734.378261,249.386898,427.405614,56.120983
90,738.515391,253.105681,427.727479,56.541521
91,741.032173,255.239137,427.725099,56.811936
92,738.229676,252.43434,427.901921,56.412109
93,739.430386,253.695752,428.004243,56.503521
94,738.468879,252.811047,428.137666,56.348798
95,739.11294,253.218854,427.840871,56.811865
96,737.345972,251.690108,428.214987,56.293147
97,739.830103,253.508298,428.298929,56.661033
98,738.751214,253.338445,427.663599,56.589792
99,738.305027,251.256759,429.185254,56.600523
100,739.498657,253.516749,428.372979,56.438369
101,747.187978,253.330866,436.232473,56.46714
102,739.977405,253.157742,428.990341,56.55781
103,735.556581,249.857187,427.999523,56.542401
104,736.848053,251.22967,427.872002,56.566321
105,739.494008,253.867125,427.889202,56.49083
106,738.365618,252.422619,428.267158,56.428959
107,740.426533,254.406303,428.169557,56.656203
108,739.68418,253.961676,428.014983,56.244706
109,739.269474,253.163403,428.649354,56.308737
110,737.972353,251.400873,428.287922,56.556829
111,738.789402,252.020451,428.454522,57.024436
112,740.587342,254.941291,428.176867,56.297794
113,737.49534,252.139474,427.928264,56.287314
114,739.651296,253.988675,427.794091,56.69287
115,745.440374,253.68776,434.223389,56.297974
116,741.233803,252.898117,430.782001,56.313355
