timestamp_perf_counter_sec,elapsed_sec,step,cpu_util_percent,process_cpu_util_percent,gpu_util_percent,gpu_mem_used_mb,gpu_power_w,gpu_energy_mj
11339718.904689372,0.00010529905557632446,-1,0.0,0.0,5.0,1991.25,14.459,140395498139.0
11339719.40754216,0.5029580872505903,1,1.5,99.4,79.0,8757.25,70.147,140395574606.0
11339719.90985046,1.0052663870155811,3,1.5,101.5,98.0,8757.25,169.751,140395697606.0
11339720.422431668,1.5178475957363844,5,1.5,99.5,99.0,8757.25,210.037,140395800559.0
11339720.924788198,2.0202041249722242,8,1.5,101.5,98.0,8757.25,209.58,140395901523.0
11339721.426937245,2.522353172302246,10,1.4,101.6,98.0,8757.25,208.034,140396002938.0
11339721.930059418,3.0254753455519676,12,1.4,99.4,99.0,8757.25,209.258,140396105268.0
11339722.43315884,3.5285747665911913,14,1.5,101.4,98.0,8757.25,209.041,140396208658.0
11339722.94123679,4.036652717739344,16,1.4,102.3,99.0,8757.25,210.166,140396312409.0
11339723.447767772,4.543183699250221,18,1.4,100.7,98.0,8757.25,210.676,140396415187.0
11339723.949959528,5.04537545517087,20,1.5,99.6,98.0,8757.25,212.489,140396513341.0
11339724.479532873,5.574948800727725,22,1.5,105.7,98.0,8757.25,214.24,140396616951.0
11339724.981964666,6.07738059386611,24,1.5,99.5,98.0,8757.25,211.738,140396720725.0
11339725.484301835,6.579717762768269,27,1.5,101.5,99.0,8757.25,212.991,140396825728.0
11339725.98644764,7.081863567233086,29,1.4,99.6,98.0,8757.25,210.967,140396925359.0
11339726.488644868,7.584060795605183,31,1.5,101.6,99.0,8757.25,209.456,140397024756.0
11339726.99858446,8.09400038793683,33,1.5,102.0,98.0,8757.25,207.899,140397127200.0
11339727.507045286,8.602461213245988,35,1.4,102.3,98.0,8757.25,213.133,140397251679.0
11339728.009194613,9.104610539972782,37,1.5,99.6,99.0,8757.25,215.41,140397356604.0
11339728.516672531,9.612088458612561,39,1.5,102.5,98.0,8757.25,212.886,140397461249.0
11339729.018957091,10.114373018965125,41,1.4,99.5,99.0,8757.25,213.088,140397566744.0
11339729.52127367,10.616689598187804,43,1.5,101.5,98.0,8757.25,210.932,140397669499.0
11339730.02366525,11.119081176817417,45,1.4,99.5,99.0,8757.25,208.532,140397770695.0
11339730.526149683,11.621565610170364,48,1.6,101.5,98.0,8757.25,209.901,140397873680.0
11339731.0283479,12.123763827607036,50,1.5,101.6,98.0,8757.25,210.503,140397974132.0
11339731.53535834,12.630774267017841,52,1.4,100.6,99.0,8757.25,208.253,140398078013.0
11339732.038149156,13.133565083146095,54,1.5,101.5,98.0,8757.25,209.389,140398182843.0
11339732.544045089,13.63946101628244,56,1.5,100.8,99.0,8757.25,213.947,140398288586.0
11339733.046219187,14.141635114327073,58,1.4,99.6,98.0,8757.25,213.191,140398387545.0
11339733.548404332,14.643820259720087,60,1.5,99.6,98.0,8757.25,213.279,140398489307.0
11339734.055006245,15.150422172620893,62,1.5,102.6,98.0,8757.25,217.084,140398595956.0
11339734.557919316,15.653335243463516,64,1.5,101.4,98.0,8757.25,215.71,140398700054.0
11339735.060129084,16.155545011162758,66,1.5,99.5,99.0,8757.25,212.644,140398805466.0
11339735.56238804,16.6578039675951,69,1.5,101.5,98.0,8757.25,214.6,140398911106.0
11339736.065589065,17.161004992201924,71,1.4,99.4,99.0,8757.25,212.476,140399010490.0
