timestamp_perf_counter_sec,elapsed_sec,step,cpu_util_percent,gpu_util_percent,gpu_mem_used_mb,gpu_power_w,gpu_energy_mj
10838420.456084313,0.0003349166363477707,-1,0.0,26.0,1991.25,24.627,177450692882.0
10838420.960879615,0.5051302183419466,0,0.9,59.0,9133.25,79.204,177450749003.0
10838421.466482133,1.0107327364385128,1,1.0,100.0,11717.25,160.646,177450858279.0
10838421.969278116,1.5135287195444107,3,1.1,100.0,11717.25,215.264,177450964401.0
10838422.472069077,2.0163196809589863,4,1.1,97.0,11717.25,221.521,177451073860.0
10838422.97421148,2.518462084233761,5,1.1,97.0,11717.25,220.445,177451178272.0
10838423.476264518,3.0205151215195656,6,1.1,100.0,11717.25,225.397,177451287532.0
10838423.985145789,3.529396392405033,8,1.1,99.0,11717.25,223.153,177451395246.0
10838424.486998584,4.031249187886715,9,1.0,98.0,11717.25,222.636,177451506028.0
10838424.989016851,4.533267455175519,10,1.1,98.0,11717.25,222.057,177451616746.0
10838425.491155483,5.035406086593866,12,1.0,99.0,11717.25,219.664,177451727216.0
10838425.997520704,5.541771307587624,13,1.1,97.0,11717.25,226.297,177451838023.0
10838426.504523247,6.048773851245642,14,1.0,100.0,11717.25,224.443,177451947627.0
10838427.007659119,6.551909722387791,16,1.1,100.0,11717.25,228.29,177452057654.0
10838427.509585254,7.053835857659578,17,1.1,97.0,11717.25,221.506,177452162122.0
10838428.011649145,7.555899748578668,18,1.0,96.0,11717.25,223.154,177452272538.0
10838428.513653552,8.057904155924916,19,1.0,100.0,11717.25,220.826,177452401974.0
10838429.01610632,8.560356924310327,21,1.1,100.0,11717.25,220.52,177452514479.0
10838429.524293697,9.06854430027306,22,1.1,97.0,11717.25,222.575,177452625583.0
10838430.027355064,9.571605667471886,23,1.0,100.0,11717.25,225.631,177452736787.0
10838430.52929192,10.073542524129152,25,1.1,100.0,11717.25,218.218,177452839974.0
10838431.03702626,10.5812768638134,26,1.1,97.0,11717.25,219.465,177452950439.0
10838431.543722795,11.087973399087787,27,1.0,97.0,11717.25,222.671,177453061543.0
10838432.046012271,11.5902628749609,28,1.1,100.0,11717.25,229.834,177453173407.0
10838432.548994508,12.09324511140585,30,1.0,99.0,11717.25,221.845,177453278530.0
10838433.064690078,12.608940681442618,31,1.1,98.0,11717.25,219.775,177453387160.0
10838433.573248222,13.117498826235533,32,1.1,98.0,11717.25,222.773,177453498188.0
10838434.07579341,13.620044013485312,34,1.0,99.0,11717.25,222.468,177453603755.0
10838434.603802336,14.148052940145135,35,1.1,99.0,11717.25,219.584,177453715464.0
10838435.112818077,14.65706868097186,36,1.1,98.0,11717.25,223.594,177453845391.0
10838435.614783036,15.159033639356494,38,1.0,100.0,11717.25,220.74,177453951509.0
10838436.1223396,15.666590204462409,39,1.1,98.0,11717.25,223.181,177454061236.0
10838436.625044413,16.169295016676188,40,1.1,100.0,11717.25,223.044,177454172872.0
10838437.126894595,16.671145198866725,41,1.0,100.0,11717.25,227.63,177454283498.0
10838437.628927397,17.17317800037563,43,1.0,97.0,11717.25,224.67,177454393049.0
10838438.130816203,17.67506680637598,44,1.0,97.0,11717.25,222.727,177454501724.0
10838438.63277794,18.17702854424715,45,1.1,100.0,11717.25,225.585,177454612209.0
10838439.134646924,18.678897527977824,47,1.0,100.0,11717.25,222.963,177454715590.0
10838439.643194629,19.187445232644677,48,1.1,97.0,11717.25,224.324,177454824647.0
10838440.14537525,19.689625853672624,49,1.1,97.0,11717.25,223.254,177454934476.0
10838440.647325216,20.19157581962645,50,1.0,99.0,11717.25,227.774,177455044264.0
10838441.150317574,20.69456817768514,52,1.0,99.0,11717.25,223.639,177455151545.0
10838441.652309945,21.196560548618436,53,1.1,98.0,11717.25,221.952,177455259304.0
10838442.15427063,21.698521234095097,54,1.0,98.0,11717.25,224.106,177455369667.0
10838442.660112072,22.2043626755476,56,1.1,99.0,11717.25,222.283,177455477298.0
10838443.162788542,22.707039145752788,57,1.1,97.0,11717.25,222.389,177455588988.0
10838443.664939644,23.20919024758041,58,1.1,100.0,11717.25,221.571,177455697646.0
10838444.16686634,23.711116943508387,59,1.0,100.0,11717.25,227.376,177455807451.0
10838444.681986488,24.22623709216714,61,1.1,97.0,11717.25,225.54,177455913928.0
10838445.186526956,24.730777559801936,62,1.1,98.0,11717.25,225.632,177456024726.0
10838445.688719777,25.23297038115561,63,1.1,100.0,11717.25,222.562,177456133202.0
10838446.191286916,25.735537519678473,65,1.0,100.0,11717.25,223.055,177456241627.0
10838446.710904852,26.255155455321074,66,1.1,98.0,11717.25,225.874,177456378307.0
10838447.212725116,26.756975719705224,67,1.1,100.0,11717.25,228.329,177456491035.0
10838447.719508536,27.26375913992524,69,1.1,100.0,11717.25,221.605,177456596499.0
10838448.221500345,27.7657509483397,70,1.1,98.0,11717.25,224.652,177456707824.0
10838448.723636797,28.267887400463223,71,1.1,97.0,11717.25,223.334,177456816795.0
10838449.225603463,28.76985406689346,72,1.1,99.0,11717.25,226.591,177456924698.0
10838449.727663003,29.27191360667348,74,1.0,99.0,11717.25,222.173,177457032196.0
10838450.22969244,29.773943044245243,75,1.1,98.0,11717.25,223.212,177457140423.0
10838450.73695599,30.281206592917442,76,1.1,98.0,11717.25,224.467,177457253737.0
10838451.24013551,30.78438611328602,78,1.1,99.0,11717.25,221.683,177457360210.0
10838451.750818005,31.29506860859692,79,1.0,99.0,11717.25,222.311,177457471571.0
10838452.257264977,31.801515581086278,80,1.1,100.0,11717.25,223.53,177457582175.0
10838452.759253455,32.30350405909121,81,1.0,100.0,11717.25,229.327,177457693737.0
10838453.262300374,32.80655097775161,83,1.0,97.0,11717.25,222.055,177457796166.0
10838453.778049177,33.3222997803241,84,1.1,97.0,11717.25,222.075,177457907440.0
10838454.279993162,33.824243765324354,85,1.1,100.0,11717.25,223.601,177458018487.0
10838454.781955007,34.32620561122894,87,1.0,100.0,11717.25,225.994,177458128233.0
10838455.2841726,34.828423203900456,88,1.1,97.0,11717.25,220.997,177458231004.0
10838455.786544535,35.330795139074326,89,1.0,97.0,11717.25,219.405,177458340596.0
10838456.288476793,35.83272739686072,90,1.0,100.0,11717.25,227.15,177458454159.0
10838456.795726372,36.3399769756943,92,1.0,100.0,11717.25,224.541,177458561649.0
10838457.29825746,36.842508064582944,93,1.0,98.0,11717.25,223.711,177458672942.0
10838457.800565504,37.344816107302904,94,1.1,98.0,11717.25,223.348,177458784364.0
10838458.302559283,37.84680988639593,96,1.0,100.0,11717.25,229.011,177458897434.0
10838458.816887416,38.36113801971078,97,1.1,97.0,11717.25,224.719,177459025151.0
10838459.31914867,38.863399274647236,98,1.1,97.0,11717.25,221.862,177459132839.0
10838459.821718369,39.365968972444534,99,1.1,99.0,11717.25,227.744,177459244210.0
10838460.324778369,39.86902897246182,101,1.1,99.0,11717.25,225.908,177459352827.0
10838460.827654831,40.37190543487668,102,1.1,97.0,11717.25,224.455,177459460394.0
10838461.334205916,40.878456519916654,103,1.1,88.0,11717.25,221.491,177459570091.0
10838461.836689036,41.38093964010477,104,1.1,99.0,11717.25,221.912,177459680114.0
10838462.338848116,41.883098719641566,106,1.0,99.0,11717.25,224.229,177459791207.0
10838462.840753863,42.38500446639955,107,1.1,98.0,11717.25,225.78,177459903433.0
10838463.34272802,42.886978624388576,108,1.0,98.0,11717.25,229.048,177460014891.0
10838463.844687007,43.38893761113286,110,1.1,97.0,11717.25,221.504,177460118511.0
10838464.346619904,43.89087050780654,111,1.0,97.0,11717.25,225.307,177460231195.0
10838464.85320209,44.39745269343257,112,1.1,100.0,11717.25,226.116,177460341867.0
10838465.355146607,44.899397211149335,113,1.1,100.0,11717.25,230.598,177460450792.0
10838465.858583804,45.40283440798521,115,1.1,98.0,11717.25,220.741,177460554846.0
10838466.36051116,45.90476176328957,116,1.1,97.0,11717.25,222.483,177460665454.0
10838466.862470636,46.40672123990953,117,1.1,100.0,11717.25,223.547,177460775028.0
10838467.364847532,46.90909813530743,119,1.1,100.0,11717.25,224.775,177460883477.0
10838467.871563151,47.41581375524402,120,1.0,98.0,11717.25,223.435,177460995368.0
