step,step_ms,forward_ms,backward_ms,optimizer_ms
0,313.657625,119.326066,125.645032,68.077477
1,243.333377,65.891147,117.810169,57.87612
2,239.433785,65.344036,116.217589,56.712719
3,239.11564,65.359527,116.219039,56.335912
4,239.209702,65.255656,116.050616,56.773
5,239.998258,65.429028,116.412662,56.978386
6,240.375414,64.925015,117.771791,56.555029
7,238.331497,64.665991,116.113631,56.404696
8,239.52994,63.730655,118.37623,56.312635
9,239.730073,65.358333,116.545749,56.693082
10,239.381746,65.485275,116.461548,56.325614
11,241.872379,66.792098,117.412794,56.545708
12,239.949926,65.430275,116.590159,56.764103
13,240.872063,65.15333,117.924512,56.678621
14,239.632841,65.466375,116.61413,56.437607
15,240.497255,64.138561,118.764407,56.394366
16,234.731325,62.986181,113.79842,56.841774
17,239.186314,65.462685,116.325675,56.276825
18,242.488691,66.870639,117.590827,56.872085
19,239.278984,65.232151,116.673971,56.268553
20,240.741,65.340263,117.78615,56.490178
21,239.648021,65.520297,116.689131,56.315995
22,240.13986,64.363516,118.303808,56.365506
23,235.0884,62.982981,114.279789,56.668931
24,239.371367,65.384014,116.361305,56.475087
25,242.515901,67.119474,117.515795,56.63097
26,240.507816,65.515056,116.68725,57.139769
27,241.134707,65.902452,117.76854,56.336456
28,240.703139,65.83264,117.141909,56.537188
29,241.523673,65.344722,118.34673,56.690351
30,235.675342,62.972851,114.730976,56.801843
31,240.377174,63.446989,119.355298,56.460307
32,240.19131,65.846191,116.693612,56.539649
33,241.978832,66.257059,117.657708,56.407616
34,241.920621,66.373911,117.574216,56.847584
35,241.439902,66.676446,117.110818,56.541758
36,240.691389,66.100557,116.698981,56.769602
37,240.348264,65.72948,116.906474,56.59421
38,238.312357,65.22123,115.630073,56.240223
39,238.851917,65.118728,116.337594,56.283894
40,239.292035,65.393814,116.243453,56.552769
41,239.373266,65.363633,116.286254,56.62908
42,239.836303,65.442764,116.376295,56.462117
43,239.666502,65.15592,116.169032,56.835924
44,238.816487,65.16952,116.149161,56.396836
45,239.314265,65.457695,116.396165,56.316715
46,240.18778,65.381133,116.417037,57.23145
47,239.416857,65.352933,116.456397,56.485058
48,239.55844,65.349373,116.242273,56.876775
49,238.838747,65.225341,116.201052,56.307855
50,239.671371,65.465184,116.667591,56.410706
51,239.176453,65.504135,116.330824,56.212773
52,239.619501,65.508036,116.552018,56.443947
53,239.735573,65.398083,116.359625,56.851265
54,239.673331,65.501284,116.67105,56.379166
55,239.314266,65.528886,116.296453,56.382686
56,239.783884,65.530406,116.756502,56.363676
57,238.919718,65.263551,116.104741,56.403796
58,239.538078,65.588827,116.322654,56.494568
