batch_size,mode,label,source_folder,total_train_sec,steps_completed,steps_per_second,samples_per_second,mean_step_ms,mean_forward_ms,mean_backward_ms,mean_optimizer_ms,time_overhead_pct_vs_baseline,energy_consumed_kwh,emissions_kg
4,baseline_time,Baseline timing,final_experiment_results\BatchSize4_4\*,300.299053376,1253.3333333333333,4.173617261935259,16.694469047741038,,65.85008479835062,117.4047634557063,56.62211954189943,0.0,,
4,e2e_energy,E2E energy,final_experiment_results\BatchSize4_4\*,302.34623229333334,1253.0,4.1443574853166325,16.57742994126653,,65.85008479835062,117.4047634557063,56.62211954189943,0.6816903748456477,0.0477542359135069,0.0001880253808153
4,fine_grain,Fine-grained,final_experiment_results\BatchSize4_4\*,302.72698798233336,1253.0,4.13906881962241,16.55627527848964,241.06035170417667,65.85008479835062,117.4047634557063,56.62211954189943,0.8085313365406813,,
8,baseline_time,Baseline timing,final_experiment_results\BatchSize8_4\*,300.4773264396666,776.3333333333334,2.583666933219734,20.66933546575787,,123.96723907689004,207.5256611103952,56.720901978092776,0.0,,
8,e2e_energy,E2E energy,final_experiment_results\BatchSize8_4\*,304.229352791,776.0,2.5507100777048755,20.405680621639004,,123.96723907689004,207.5256611103952,56.720901978092776,1.2486894129414694,0.0490768903843444,0.0001932331410445
8,fine_grain,Fine-grained,final_experiment_results\BatchSize8_4\*,302.56761118833333,776.0,2.564716699730442,20.51773359784353,389.3671989007732,123.96723907689004,207.5256611103952,56.720901978092776,0.6956519528340612,,
16,baseline_time,Baseline timing,final_experiment_results\BatchSize16_4\*,300.727936435,409.0,1.3600403214318109,21.76064514290897,,248.88918763754046,422.1801832071198,56.55160569741101,0.0,,
16,e2e_energy,E2E energy,final_experiment_results\BatchSize16_4\*,303.31109123299996,412.0,1.3583418616124066,21.733469785798505,,248.88918763754046,422.1801832071198,56.55160569741101,0.8589694925741136,0.0494699240839927,0.0001947806542574
16,fine_grain,Fine-grained,final_experiment_results\BatchSize16_4\*,300.51373350700004,412.0,1.3709862996742312,21.9357807947877,728.8382513333335,248.88918763754046,422.1801832071198,56.55160569741101,-0.0711829957097372,,
