batch_size,phase,mean_phase_ms,std_phase_ms
4,backward,117.4047634557063,0.3645699731514513
4,forward,65.85008479835062,0.37238476149540123
4,optimizer,56.62211954189943,0.019739455220130632
8,backward,207.5256611103952,0.1644391187191137
8,forward,123.96723907689004,0.09230523164270031
8,optimizer,56.720901978092776,0.0190524694225926
16,backward,422.1801832071198,0.40866177295078954
16,forward,248.88918763754046,0.2254927883142759
16,optimizer,56.55160569741101,0.05369682522890172
