batch_size,mode,mode_label,run,source_folder,summary_file,total_train_ms,total_train_sec,num_steps,steps_per_second,samples_per_second,mean_step_ms,std_step_ms,mean_forward_ms,std_forward_ms,mean_backward_ms,std_backward_ms,mean_optimizer_ms,std_optimizer_ms,final_loss,mean_loss,energy_consumed_kwh,emissions_kg,baseline_total_train_ms,baseline_steps_per_second,baseline_samples_per_second,time_overhead_pct_vs_baseline,step_throughput_delta_pct_vs_baseline,sample_throughput_delta_pct_vs_baseline
4,baseline_time,Baseline timing,1,final_experiment_results\BatchSize4\baseline,final_experiment_results\BatchSize4\baseline\baseline1_summary.json,300888.418013,300.888418013,1262,4.194245854772233,16.776983419088932,,,,,,,,,,,,,300888.418013,4.194245854772233,16.776983419088932,0.0,0.0,0.0
4,baseline_time,Baseline timing,2,final_experiment_results\BatchSize4\baseline2,final_experiment_results\BatchSize4\baseline2\baseline2_summary.json,300158.866146,300.158866146,1262,4.20444018930346,16.81776075721384,,,,,,,,,,,,,300158.866146,4.20444018930346,16.81776075721384,0.0,0.0,0.0
4,baseline_time,Baseline timing,3,final_experiment_results\BatchSize4\baseline3,final_experiment_results\BatchSize4\baseline3\baseline3_summary.json,300147.613724,300.147613724,1263,4.207929506184209,16.831718024736837,,,,,,,,,,,,,300147.613724,4.207929506184209,16.831718024736837,0.0,0.0,0.0
4,e2e_energy,E2E energy,1,final_experiment_results\BatchSize4\e2e_energy,final_experiment_results\BatchSize4\e2e_energy\energy1_summary.json,307788.049436,307.788049436,1262,4.100224171511943,16.400896686047773,,,,,,,,,,,0.0484729503651968,0.0001908552147744113,300888.418013,4.194245854772233,16.776983419088932,2.293086410093031,-2.241682688994292,-2.241682688994292
4,e2e_energy,E2E energy,2,final_experiment_results\BatchSize4\e2e_energy2,final_experiment_results\BatchSize4\e2e_energy2\e2e_energy2_summary.json,305985.63181,305.98563181,1262,4.124376666103171,16.497506664412683,,,,,,,,,,,0.0482233855522162,0.0001898725895035604,300158.866146,4.20444018930346,16.81776075721384,1.9412272370344756,-1.9042611999566403,-1.9042611999566403
4,e2e_energy,E2E energy,3,final_experiment_results\BatchSize4\e2e_energy3,final_experiment_results\BatchSize4\e2e_energy3\e2e_energy3_summary.json,305678.753621,305.678753621,1262,4.128517226174993,16.514068904699972,,,,,,,,,,,0.0483080982225304,0.00019020613336183815,300147.613724,4.207929506184209,16.831718024736837,1.8428065538732328,-1.8872055696871242,-1.8872055696871242
4,fine_grain,Fine-grained,1,final_experiment_results\BatchSize4\fine_grain,final_experiment_results\BatchSize4\fine_grain\fine_grain1_summary.json,307342.937334,307.342937334,1262,4.106162357095396,16.424649428381585,242.42343424088747,7.348178448105251,66.37656342551506,5.959833697026786,118.17844969730587,1.3526111841474124,56.6843903296355,0.6883632016781978,10.83479118347168,10.882677897409478,,,300888.418013,4.194245854772233,16.776983419088932,2.1451537960896716,-2.1001033493688728,-2.1001033493688728
4,fine_grain,Fine-grained,2,final_experiment_results\BatchSize4\fine_grain2,final_experiment_results\BatchSize4\fine_grain2\fine_grain2_summary.json,306352.001056,306.352001056,1262,4.11944428516826,16.47777714067304,241.51816910618066,9.09953238632763,66.1691342503962,7.7058770254508895,117.51634800079239,1.1221416073802797,56.64746883280507,0.7584185989085495,10.837370872497559,10.881997804445245,,,300158.866146,4.20444018930346,16.81776075721384,2.063285682518412,-2.021574818722319,-2.021574818722319
4,fine_grain,Fine-grained,3,final_experiment_results\BatchSize4\fine_grain3,final_experiment_results\BatchSize4\fine_grain3\fine_grain3_summary.json,306379.994549,306.379994549,1262,4.119067897555451,16.476271590221803,241.51426739064974,9.060903572367922,66.01185527654516,6.9780282802874884,117.61905820839937,1.7422253524944071,56.65368853248812,0.6967121051724844,10.8331298828125,10.882038952242553,,,300147.613724,4.207929506184209,16.831718024736837,2.0764385722323184,-2.1117656200790096,-2.1117656200790096
8,baseline_time,Baseline timing,1,final_experiment_results\BatchSize8\baseline_time,final_experiment_results\BatchSize8\baseline_time\baseline_time1_summary.json,300290.480885,300.290480885,772,2.570844063137809,20.56675250510247,,,,,,,,,,,,,300290.480885,2.570844063137809,20.56675250510247,0.0,0.0,0.0
8,baseline_time,Baseline timing,2,final_experiment_results\BatchSize8\baseline2,final_experiment_results\BatchSize8\baseline2\baseline2_summary.json,300266.496324,300.266496324,781,2.601022789959452,20.808182319675616,,,,,,,,,,,,,300266.496324,2.601022789959452,20.808182319675616,0.0,0.0,0.0
8,baseline_time,Baseline timing,3,final_experiment_results\BatchSize8\baseline3,final_experiment_results\BatchSize8\baseline3\baseline3_summary.json,300329.435605,300.329435605,771,2.5671809306565487,20.53744744525239,,,,,,,,,,,,,300329.435605,2.5671809306565487,20.53744744525239,0.0,0.0,0.0
8,e2e_energy,E2E energy,1,final_experiment_results\BatchSize8\e2e_energy,final_experiment_results\BatchSize8\e2e_energy\energy1_summary.json,301860.877235,301.86087723500003,772,2.557469543822317,20.459756350578537,,,,,,,,,,,0.0486124277022507,0.00019140438656855695,300290.480885,2.570844063137809,20.56675250510247,0.5229590846076131,-0.5202384503697836,-0.5202384503697836
8,e2e_energy,E2E energy,2,final_experiment_results\BatchSize8\e2e_energy2,final_experiment_results\BatchSize8\e2e_energy2\e2e_energy2_summary.json,305282.033573,305.282033573,772,2.528809150556831,20.230473204454647,,,,,,,,,,,0.0492863957492927,0.00019405803804634365,300266.496324,2.601022789959452,20.808182319675616,1.6703619319512801,-2.7763555045108586,-2.7763555045108586
8,e2e_energy,E2E energy,3,final_experiment_results\BatchSize8\e2e_energy3,final_experiment_results\BatchSize8\e2e_energy3\e2e_energy3_summary.json,305039.509678,305.039509678,772,2.530819698782377,20.246557590259016,,,,,,,,,,,0.0492236904748777,0.0001938111451189315,300329.435605,2.5671809306565487,20.53744744525239,1.5683025087140612,-1.4163875806319757,-1.4163875806319757
8,fine_grain,Fine-grained,1,final_experiment_results\BatchSize8\fine_grain,final_experiment_results\BatchSize8\fine_grain\fine_grain1_summary.json,302417.901577,302.417901577,772,2.552758933827327,20.422071470618615,388.2320869119171,13.063322342373768,123.71718645725387,10.103491145088734,206.54156365414508,2.6781019365798735,56.754766667098444,0.5460121299970555,10.839883804321289,10.909402153034902,,,300290.480885,2.570844063137809,20.56675250510247,0.7084542559358311,-0.7034704893150324,-0.7034704893150324
8,fine_grain,Fine-grained,2,final_experiment_results\BatchSize8\fine_grain2,final_experiment_results\BatchSize8\fine_grain2\fine_grain2_summary.json,304800.50992,304.80050991999997,772,2.53280416165519,20.26243329324152,392.8408227344559,8.25472089508355,125.1282344365285,7.440105299688133,209.67725434585492,1.1726157323024415,56.809117225388604,0.5547705520889468,10.840353965759277,10.908335432487448,,,300266.496324,2.601022789959452,20.808182319675616,1.5099965036084433,-2.622761652362351,-2.622761652362351
8,fine_grain,Fine-grained,3,final_experiment_results\BatchSize8\fine_grain3,final_experiment_results\BatchSize8\fine_grain3\fine_grain3_summary.json,304865.416947,304.865416947,772,2.5322649178480288,20.25811934278423,392.53948344300517,9.6157963373214,124.96544973575129,8.929353692032837,209.60284219818655,1.0470223745598342,56.74043140544041,0.4930852872399544,10.842690467834473,10.907871436578622,,,300329.435605,2.5671809306565487,20.53744744525239,1.5103352533069179,-1.360091623911771,-1.360091623911771
16,baseline_time,Baseline timing,1,final_experiment_results\BatchSize16\baseline_time,final_experiment_results\BatchSize16\baseline_time\baseline_time1_summary.json,300749.477895,300.74947789500004,411,1.3665859135539098,21.865374616862557,,,,,,,,,,,,,300749.477895,1.3665859135539098,21.865374616862557,0.0,0.0,0.0
16,baseline_time,Baseline timing,2,final_experiment_results\BatchSize16\baseline2,final_experiment_results\BatchSize16\baseline2\baseline2_summary.json,300685.469724,300.68546972400003,408,1.3568996213036308,21.710393940858093,,,,,,,,,,,,,300685.469724,1.3568996213036308,21.710393940858093,0.0,0.0,0.0
16,baseline_time,Baseline timing,3,final_experiment_results\BatchSize16\baseline3,final_experiment_results\BatchSize16\baseline3\baseline3_summary.json,300683.538051,300.68353805099997,416,1.3835143842475368,22.13623014796059,,,,,,,,,,,,,300683.538051,1.3835143842475368,22.13623014796059,0.0,0.0,0.0
16,e2e_energy,E2E energy,1,final_experiment_results\BatchSize16\e2e_energy,final_experiment_results\BatchSize16\e2e_energy\e2e_energy1_summary.json,301963.113823,301.963113823,411,1.3610933958010298,21.777494332816477,,,,,,,,,,,0.0492271812394686,0.00019382488949844004,300749.477895,1.3665859135539098,21.865374616862557,0.4035371687074676,-0.4019152911210864,-0.4019152911210864
16,e2e_energy,E2E energy,2,final_experiment_results\BatchSize16\e2e_energy2,final_experiment_results\BatchSize16\e2e_energy2\e2e_energy2_summary.json,303231.445064,303.231445064,412,1.3586981386875734,21.739170219001174,,,,,,,,,,,0.0494083996164719,0.0001945384105860458,300685.469724,1.3568996213036308,21.710393940858093,0.8467237683074483,0.13254608931312342,0.13254608931312342
16,e2e_energy,E2E energy,3,final_experiment_results\BatchSize16\e2e_energy3,final_experiment_results\BatchSize16\e2e_energy3\e2e_energy3_summary.json,304394.742756,304.394742756,412,1.3535056363646047,21.656090181833676,,,,,,,,,,,0.0495527732267765,0.0001951068607462869,300683.538051,1.3835143842475368,22.13623014796059,1.234256031791993,-2.1690231937308817,-2.1690231937308817
16,fine_grain,Fine-grained,1,final_experiment_results\BatchSize16\fine_grain,final_experiment_results\BatchSize16\fine_grain\fine_grain1_summary.json,304977.664721,304.977664721,411,1.3476396718297108,21.562234749275373,731.1814021800487,12.23376513460066,250.73731796593674,11.199693795797277,422.26481943309,3.5596429068497306,56.74432257420925,0.5657231549117496,10.862348556518555,10.969155866154209,,,300749.477895,1.3665859135539098,21.865374616862557,1.4058833470281757,-1.386392288716622,-1.386392288716622
16,fine_grain,Fine-grained,2,final_experiment_results\BatchSize16\fine_grain2,final_experiment_results\BatchSize16\fine_grain2\fine_grain2_summary.json,307093.706159,307.093706159,412,1.3416100419416737,21.46576067106678,734.5989778009708,11.9541819187011,249.82181231796116,10.275316981553159,426.75199848786406,3.0827551746204187,56.691761871359226,0.8160200498126287,10.861050605773926,10.969776301708036,,,300685.469724,1.3568996213036308,21.710393940858093,2.1312092136949974,-1.1268025373363904,-1.1268025373363904
16,fine_grain,Fine-grained,3,final_experiment_results\BatchSize16\fine_grain3,final_experiment_results\BatchSize16\fine_grain3\fine_grain3_summary.json,306823.612711,306.823612711,412,1.3427910464898496,21.484656743837593,734.7445656747573,10.709587437826075,249.91515832281553,9.50031502814006,426.88822605582527,3.1239685655462446,56.628771849514564,0.6023063385366391,10.869001388549805,10.96962259116682,,,300683.538051,1.3835143842475368,22.13623014796059,2.0420388491499666,-2.9434704995738623,-2.9434704995738623
