batch_size,mode,mode_label,runs,total_train_ms_mean,total_train_ms_std,num_steps_mean,num_steps_std,steps_per_second_mean,steps_per_second_std,samples_per_second_mean,samples_per_second_std,mean_step_ms_mean,mean_step_ms_std,final_loss_mean,final_loss_std,energy_consumed_kwh_mean,energy_consumed_kwh_std,emissions_kg_mean,emissions_kg_std,time_overhead_pct_vs_baseline_mean,time_overhead_pct_vs_baseline_std,step_throughput_delta_pct_vs_baseline_mean,step_throughput_delta_pct_vs_baseline_std,sample_throughput_delta_pct_vs_baseline_mean,sample_throughput_delta_pct_vs_baseline_std
4,baseline_time,Baseline timing,3,300398.2992943333,424.49254768584655,1262.3333333333333,0.5773502691896586,4.202205183419967,0.00711034580492104,16.80882073367987,0.02844138321968416,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
4,e2e_energy,E2E energy,3,306484.1449556667,1139.591473334202,1262.0,0.0,4.117706021263369,0.015280620487259693,16.470824085053476,0.06112248194903877,,,,,0.048334811379981135,0.00012690880014897235,0.00019031131254660326,4.996850021859743e-07,2.025706733666913,0.23672890876017444,-2.011049819546019,0.19991589227330267,-2.011049819546019,0.19991589227330267
4,fine_grain,Fine-grained,3,306691.64431299997,564.2099417017383,1262.0,0.0,4.114891513273036,0.007562013130707005,16.459566053092143,0.03024805252282802,241.8186235792393,0.5237850305025109,10.835097312927246,0.0021370036990766735,,,,,2.094959350280134,0.04396431984634231,-2.077814596056734,0.0490528954853589,-2.077814596056734,0.0490528954853589
8,baseline_time,Baseline timing,3,300295.470938,31.764976702434673,774.6666666666666,5.507570547286092,2.5796825945846034,0.01857168783044115,20.637460756676827,0.1485735026435292,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
8,e2e_energy,E2E energy,3,304060.80682866665,1909.0500576803222,772.0,0.0,2.5390327977205085,0.01599830557148896,20.312262381764068,0.1279864445719117,,,,,0.049040837975473706,0.000372336554090673,0.00019309118991127738,1.4660212028347853e-06,1.2538745084243181,0.6350449189212868,-1.5709938451708727,1.1359768321900559,-1.5709938451708727,1.1359768321900559
8,fine_grain,Fine-grained,3,304027.94281466666,1394.7142434129587,772.0,0.0,2.5392760044435154,0.011679671851020635,20.314208035548123,0.09343737480816508,391.20413102979273,2.5782719059657366,10.840976079305014,0.001503199576536369,,,,,1.2429286709503975,0.46286845206463545,-1.5621079218630516,0.9754627520394294,-1.5621079218630516,0.9754627520394294
16,baseline_time,Baseline timing,3,300706.16189000005,37.52519229815979,411.6666666666667,4.041451884327373,1.3689999730350257,0.013470603699309582,21.903999568560412,0.2155296591889533,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
16,e2e_energy,E2E energy,3,303196.433881,1216.1924823612753,411.6666666666667,0.5773502691896216,1.357765723617736,0.0038788621673256207,21.724251577883777,0.06206179467720993,,,,,0.04939611802757233,0.00016314307714150936,0.00019449005361025758,6.42352214837805e-07,0.8281723229356364,0.41567003075173603,-0.8127974651796149,1.2045428227681327,-0.8127974651796149,1.2045428227681327
16,fine_grain,Fine-grained,3,306298.3278636667,1151.6731176691283,411.6666666666667,0.5773502691896216,1.3440135867537446,0.003195318868174361,21.504217388059914,0.051125101890789774,733.5083152185922,2.016480144696836,10.864133516947428,0.004265360416985775,,,,,1.8597104699577134,0.3955466238108342,-1.818888441875625,0.982527512657032,-1.818888441875625,0.982527512657032
