batch_size,mode,run,phase,mean_phase_ms,std_phase_ms,avg_gpu_util_percent,avg_cpu_util_percent,avg_gpu_mem_used_mb,avg_gpu_power_w,peak_gpu_power_w
4,fine_grain,1,backward,117.74484700399042,1.0257930791995773,98.28951747088186,1.46955074875208,8757.25,212.9151680532446,218.86
4,fine_grain,1,forward,66.02436198004789,2.386041177198398,98.28951747088186,1.46955074875208,8757.25,212.9151680532446,218.86
4,fine_grain,1,optimizer,56.64469350359138,0.4673141638981089,98.28951747088186,1.46955074875208,8757.25,212.9151680532446,218.86
4,fine_grain,2,backward,117.01985276695927,1.2687723037701673,98.28140703517587,1.4991624790619766,8757.25,212.73646733668343,218.79
4,fine_grain,2,forward,65.4225185227454,2.109977717691132,98.28140703517587,1.4991624790619766,8757.25,212.73646733668343,218.79
4,fine_grain,2,optimizer,56.608101575418985,0.4023449845631978,98.28140703517587,1.4991624790619766,8757.25,212.73646733668343,218.79
4,fine_grain,3,backward,117.4495905961692,1.359659316065711,98.31,1.5888333333333333,8757.25,210.187025,216.612
4,fine_grain,3,forward,66.10337389225859,2.0051979936435096,98.31,1.5888333333333333,8757.25,210.187025,216.612
4,fine_grain,3,optimizer,56.61356354668795,0.4017388779933909,98.31,1.5888333333333333,8757.25,210.187025,216.612
8,fine_grain,1,backward,207.50029529381445,1.0103877361440405,98.9449081803005,1.0626043405676127,11715.937813021703,225.2067429048414,231.963
8,fine_grain,1,forward,123.87770343298969,2.274686475962957,98.9449081803005,1.0626043405676127,11715.937813021703,225.2067429048414,231.963
8,fine_grain,1,optimizer,56.700755708762884,0.294423101205157,98.9449081803005,1.0626043405676127,11715.937813021703,225.2067429048414,231.963
8,fine_grain,2,backward,207.7013092152062,0.7163704549514124,98.96333333333334,1.0716666666666668,11715.94,225.25224166666666,232.148
8,fine_grain,2,forward,124.06208465979381,2.262624669583715,98.96333333333334,1.0716666666666668,11715.94,225.25224166666666,232.148
8,fine_grain,2,optimizer,56.72332054123712,0.2969899722594941,98.96333333333334,1.0716666666666668,11715.94,225.25224166666666,232.148
8,fine_grain,3,backward,207.37537882216495,0.918050446873726,98.9415692821369,1.0641068447412354,11715.937813021703,225.5304858096828,232.729
8,fine_grain,3,forward,123.96192913788659,2.479599649234139,98.9415692821369,1.0641068447412354,11715.937813021703,225.5304858096828,232.729
8,fine_grain,3,optimizer,56.738629684278344,0.29867820384708926,98.9415692821369,1.0641068447412354,11715.937813021703,225.5304858096828,232.729
16,fine_grain,1,backward,422.5568221116505,3.029492848423224,99.44221105527639,1.0654941373534337,19341.34715242881,231.58637688442207,235.842
16,fine_grain,1,forward,249.14639944660192,3.194991373575106,99.44221105527639,1.0654941373534337,19341.34715242881,231.58637688442207,235.842
16,fine_grain,1,optimizer,56.6068866723301,0.4314771950539194,99.44221105527639,1.0654941373534337,19341.34715242881,231.58637688442207,235.842
16,fine_grain,2,backward,422.23805838592233,3.1840597126515995,99.42114093959732,0.9088926174496641,19341.33389261745,231.6072315436242,236.71
16,fine_grain,2,forward,248.72553089077672,2.471761890608093,99.42114093959732,0.9088926174496641,19341.33389261745,231.6072315436242,236.71
16,fine_grain,2,optimizer,56.499647327669905,0.3592026444073632,99.42114093959732,0.9088926174496641,19341.33389261745,231.6072315436242,236.71
16,fine_grain,3,backward,421.74566912378646,3.3623120498537857,99.40840336134454,1.0779831932773107,19341.320588235296,231.89003025210084,236.973
16,fine_grain,3,forward,248.79563257524273,3.7538696717990225,99.40840336134454,1.0779831932773107,19341.320588235296,231.89003025210084,236.973
16,fine_grain,3,optimizer,56.54828309223301,0.39081713194930634,99.40840336134454,1.0779831932773107,19341.320588235296,231.89003025210084,236.973
