batch_size,mode,mode_label,run,source_folder,summary_file,total_train_ms,total_train_sec,num_steps,steps_per_second,samples_per_second,mean_step_ms,std_step_ms,mean_forward_ms,std_forward_ms,mean_backward_ms,std_backward_ms,mean_optimizer_ms,std_optimizer_ms,final_loss,mean_loss,energy_consumed_kwh,emissions_kg,baseline_total_train_ms,baseline_steps_per_second,baseline_samples_per_second,time_overhead_pct_vs_baseline,sample_throughput_delta_pct_vs_baseline
4,baseline_time,Baseline timing,1,final_experiment_results\BatchSize4_4\baseline_time_n64_1,final_experiment_results\BatchSize4_4\baseline_time_n64_1\baseline_time_1_summary.json,300229.704343,300.22970434300004,1253,4.173471118528962,16.693884474115848,,,,,,,,,,,,,300229.704343,4.173471118528962,16.693884474115848,0.0,0.0
4,baseline_time,Baseline timing,2,final_experiment_results\BatchSize4_4\baseline_time_n64_2,final_experiment_results\BatchSize4_4\baseline_time_n64_2\baseline_time_2_summary.json,300329.056144,300.329056144,1252,4.168760812139664,16.675043248558655,,,,,,,,,,,,,300329.056144,4.168760812139664,16.675043248558655,0.0,0.0
4,baseline_time,Baseline timing,3,final_experiment_results\BatchSize4_4\baseline_time_n64_3,final_experiment_results\BatchSize4_4\baseline_time_n64_3\baseline_time_3_summary.json,300338.399641,300.338399641,1255,4.178619855137153,16.714479420548614,,,,,,,,,,,,,300338.399641,4.178619855137153,16.714479420548614,0.0,0.0
4,e2e_energy,E2E energy,1,final_experiment_results\BatchSize4_4\e2e_energy_n64_1,final_experiment_results\BatchSize4_4\e2e_energy_n64_1\e2e_energy_1_summary.json,301524.514963,301.524514963,1253,4.155549342824597,16.622197371298387,,,,,,,,,,,0.0475489222489106,0.00018721698802603458,300229.704343,4.173471118528962,16.693884474115848,0.43127332214960856,-0.42942134245994235
4,e2e_energy,E2E energy,2,final_experiment_results\BatchSize4_4\e2e_energy_n64_2,final_experiment_results\BatchSize4_4\e2e_energy_n64_2\e2e_energy_2_summary.json,304454.982181,304.454982181,1253,4.115550979077377,16.46220391630951,,,,,,,,,,,0.0482370127024859,0.0001899262444321727,300329.056144,4.168760812139664,16.675043248558655,1.373801819235816,-1.2763944841195145
4,e2e_energy,E2E energy,3,final_experiment_results\BatchSize4_4\e2e_energy_n64_3,final_experiment_results\BatchSize4_4\e2e_energy_n64_3\e2e_energy_3_summary.json,301059.199736,301.059199736,1253,4.161972134047923,16.647888536191694,,,,,,,,,,,0.0474767727891244,0.0001869329099878792,300338.399641,4.178619855137153,16.714479420548614,0.2399959831515186,-0.39840238323578103
4,fine_grain,Fine-grained,1,final_experiment_results\BatchSize4_4\fine_grain_n64_1,final_experiment_results\BatchSize4_4\fine_grain_n64_1\fine_grain_1_summary.json,303391.602472,303.391602472,1253,4.12997587866869,16.51990351467476,241.5924892178771,3.234452037757479,66.02436198004789,2.386041177198398,117.74484700399042,1.0257930791995773,56.64469350359138,0.4673141638981089,10.488903999328613,10.708799424593865,,,300229.704343,4.173471118528962,16.693884474115848,1.0531596585085536,-1.0421837991681866
4,fine_grain,Fine-grained,2,final_experiment_results\BatchSize4_4\fine_grain_n64_2,final_experiment_results\BatchSize4_4\fine_grain_n64_2\fine_grain_2_summary.json,301668.660696,301.66866069599996,1253,4.153563704990502,16.614254819962007,240.21507478052672,3.1442559876899514,65.4225185227454,2.109977717691132,117.0198527669593,1.2687723037701673,56.608101575419,0.4023449845631978,10.417906761169434,10.707476594594604,,,300329.056144,4.168760812139664,16.675043248558655,0.44604560384517,-0.36454735193507126
4,fine_grain,Fine-grained,3,final_experiment_results\BatchSize4_4\fine_grain_n64_3,final_experiment_results\BatchSize4_4\fine_grain_n64_3\fine_grain_3_summary.json,303120.700779,303.120700779,1253,4.133666875208039,16.534667500832157,241.3734911141261,2.9611410337187993,66.10337389225857,2.0051979936435096,117.4495905961692,1.359659316065711,56.61356354668795,0.401738877993391,10.463286399841309,10.713041986737933,,,300338.399641,4.178619855137153,16.714479420548614,0.92638874726832,-1.0757853427094939
8,baseline_time,Baseline timing,1,final_experiment_results\BatchSize8_4\baseline_time_n64_1,final_experiment_results\BatchSize8_4\baseline_time_n64_1\baseline_time_1_summary.json,300447.951257,300.447951257,776,2.582810089912105,20.66248071929684,,,,,,,,,,,,,300447.951257,2.582810089912105,20.66248071929684,0.0,0.0
